condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,81,102081,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06944444444444553,0.033552055370730374,1.454092030631154,26.712500000000244,0.9632718540818918,2.817897720285494,441675.6047127504,28.85,0.0,0.0,0.0,0.0,1.0,11.127020100006641,0.010234412676398276,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,82,102082,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06736111111111216,0.03608138818703016,1.279252273391389,26.725000000000243,0.8486806441924001,2.086484486507007,441658.3996910004,28.400000000000002,0.0,0.0,0.0,0.0,1.0,9.9373497694111,0.011106669424741786,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,83,102083,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06493055555555638,0.027587528558712368,1.157472730965877,26.668750000000244,0.743649295421158,2.2262528660159693,441687.3382412616,29.200000000000003,0.0,0.0,0.0,0.0,1.0,11.45407032731827,0.014118328327199078,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,84,102084,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0670138888888899,0.02844880579054792,1.45723953352351,25.950000000000234,0.9347266148661596,2.7143494939474353,441637.9228642901,28.75,0.0,0.0,0.0,0.0,1.0,8.531542211502073,0.014080707338383404,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,85,102085,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06701388888888973,0.02826050106815494,1.5408489868508621,27.23125000000025,0.9102601267797885,2.4641813243695814,441682.2176821252,29.75,0.0,0.0,0.0,0.0,1.0,12.390508555293552,0.02009650904755939,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,86,102086,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06944444444444538,0.02939634597664976,1.2856055443847927,27.03125000000025,0.7610104416622548,2.5424198406437384,441670.8225187838,28.450000000000003,0.0,0.0,0.0,0.0,1.0,10.930084501557086,0.015372155970443393,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,87,102087,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06250000000000089,0.03505441724904629,1.291294187251817,26.031250000000234,0.7783070892449451,2.2076574121884542,441635.53228003683,29.450000000000003,0.0,0.0,0.0,0.0,1.0,11.792145307005278,0.013150827226633122,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,88,102088,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0774305555555564,0.045275713916609756,1.2162100124659458,27.08125000000025,0.7883753032903528,2.873183057675819,441679.4394159488,29.700000000000003,0.0,0.0,0.0,0.0,1.0,10.395886374696774,0.014130260427114651,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,89,102089,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07256944444444528,0.02560543412904107,1.5353787842868047,27.437500000000256,0.8750931256920904,2.7889453143864302,441712.2455435883,28.950000000000003,0.0,0.0,0.0,0.0,1.0,9.439778471548212,0.01440889950575235,0.0,nan,nan,nan,0
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,90,102090,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07534722222222319,0.034744988104048385,1.577806427903925,26.918750000000248,0.8813628416049086,2.8170882663656327,441668.0426619283,28.85,0.0,0.0,0.0,0.0,1.0,11.674638886775242,0.01405082464507087,0.0,nan,nan,nan,0
