condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.024129533387891047,1.0406811068086343,29.25000000000028,0.4796287228912887
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,1,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.03106155624109978,1.1863338647298542,24.650000000000215,0.8075654590558808
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.016907814531085433,2.08999445079983,27.20000000000025,0.6819846467211033
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.010812401612348574,0.9403602457554495,26.30000000000024,0.5381143708458817
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.012389381404855411,1.5348938827634928,24.600000000000215,0.6894474994216528
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04613274914236515,2.0331753743470955,25.75000000000023,1.3977429957615695
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01934818689104767,2.542853234296102,27.80000000000026,1.722586151281474
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,1,102001,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.021199314924810357,2.0770527258464133,27.600000000000257,1.1220729345560867
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.033110483012025904,1.173635914243661,26.800000000000246,1.0360915548253424
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.019794740112444736,0.8922270394989118,25.350000000000225,0.48574016778827556
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.014420017132559602,1.6527506052510585,27.350000000000254,1.101542338815272
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.08749559569367459,0.5491114903196125,24.25000000000021,0.5491114903196125
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.022960377254433145,1.0975097403657457,23.700000000000202,1.0975097403657457
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.021169694193262936,1.8096680650042125,28.40000000000027,0.7330247770371615
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.046927345366607164,0.9243125964583233,28.150000000000265,0.25696584568669706
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,2,102002,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04016720011767131,0.38405005911903817,25.10000000000022,0.38405005911903817
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,0,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.05176400343794909,0.5437082313290919,27.600000000000257,0.4872485900940397
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,1,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.007136837943762568,2.1023613147227365,27.650000000000258,1.6970812846415726
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.029028450672098766,0.6801678317456213,27.650000000000258,0.3625600799365431
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,3,3,3,1,1,1,0.25000000000000355,0.08888888888888975,0.025080819727741375,1.556115572343322,25.250000000000224,0.4815553686979939
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.027312364022368692,2.496907267464878,27.600000000000257,1.617911075929788
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.030163257478116136,1.9830354969400332,27.350000000000254,1.0646829730830343
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.07267630679782808,2.1945406607479354,28.200000000000266,1.4949675929776474
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,3,102003,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.016504361742937318,1.0211205022403917,30.200000000000294,0.42460562999680906
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,0,3,3,1,1,1,0.25000000000000355,0.10000000000000024,0.02682830719886019,0.9875212881881256,25.950000000000234,0.4752604139789582
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.028512794172269238,1.3366895150499143,25.450000000000227,0.7449553146170423
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.022603482169046618,1.9270594253672115,24.700000000000216,1.0613805729886032
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.028995390161696666,1.3694175467176113,25.950000000000234,0.64032056821816
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06035830230086585,0.5486556891839821,27.10000000000025,0.27095840802780247
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.014655172754406514,0.9744176279141998,28.40000000000027,0.9744176279141998
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.04927815599492258,0.7187614562817967,27.450000000000255,0.18751159259421998
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,4,102004,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.021759100522341056,1.1037610258805144,28.100000000000264,0.48282070493392926
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.027181254323534524,1.0263422720528366,28.000000000000263,0.629575944383408
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.03164975974436164,0.6518335772468253,25.70000000000023,0.3498112693388041
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.022722795885141794,1.3544718503290003,26.150000000000237,0.45325643709378577
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.02469589288294001,1.9734695225330217,25.10000000000022,1.0632799556812575
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02853513610277135,1.4503898160619044,28.050000000000264,0.8274772829462287
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.015878786428994186,2.5827153295534675,28.050000000000264,1.5442447938515718
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01754586900758104,0.7519840150652937,27.450000000000255,0.3464975791795095
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,5,102005,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03878944240403866,1.040470987215362,27.650000000000258,1.040470987215362
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.01482258972069269,1.439400595138873,27.75000000000026,0.49589418433627214
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.0415156589359487,1.6526056487247598,27.300000000000253,0.9172528764808433
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,2,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.019391616166771288,1.8992478092319673,24.450000000000212,1.4681408481085938
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.035195759757959945,1.5136773695441355,25.250000000000224,1.06736490625136
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03862369185470381,0.13688785104866102,25.250000000000224,0.13688785104866102
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01654042634274571,2.0579882851266715,28.700000000000273,1.4681703726495547
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.030051760343318232,1.3584098426971674,24.650000000000215,0.7048064658854549
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,6,102006,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02372330573545478,0.7937801796987903,27.05000000000025,0.20000158014037892
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,0,3,3,1,1,1,0.25000000000000355,0.08888888888888975,0.0394124250145347,1.5182239793616106,27.70000000000026,0.842274930667488
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.03042006165485843,1.1574447675772594,25.550000000000228,0.49339727340346085
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.01677812602297774,1.596379072144915,25.500000000000227,0.4702931950499472
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,3,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.02060286589643936,2.6234463679267566,27.20000000000025,1.301591165637844
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.027569614964378694,2.681554496444825,24.750000000000217,1.6761377385061893
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.015715986770426283,2.391230323797683,29.20000000000028,1.302726909830353
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.02514850662502589,1.8468446159359369,27.350000000000254,0.8773103756329428
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,7,102007,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.06918642113349593,2.089129294894123,27.550000000000257,1.3833113985935461
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,0,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.04813163240264839,1.7813894386622084,25.60000000000023,0.9848027345847782
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.06297324118727339,0.8766802508465648,25.500000000000227,0.44303228029444996
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.034523806536879025,1.6802652331151233,24.40000000000021,1.2811743316927557
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.031259963541973926,1.3909935161934575,26.800000000000246,0.35949342861941935
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.016794156591577063,1.564642243236833,24.550000000000214,1.473977365799387
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.026545632566166773,1.966386513219114,29.10000000000028,0.9082439411544019
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.044327520606347,1.2135878220606273,24.700000000000216,0.6036488672862967
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,8,102008,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.021135709315658356,2.5083564039308563,27.20000000000025,1.6266082528037404
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,0,3,3,1,1,1,0.20000000000000284,0.08888888888889095,0.02779665385844916,1.962231885064062,27.75000000000026,0.9226985232180137
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.05511079545638773,1.3768595327664956,25.00000000000022,1.2913216155146554
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.049188782834174126,0.39884638748286383,25.400000000000226,0.39884638748286383
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.05237542789360594,1.713313988862871,24.500000000000213,1.2867269249862894
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.01744880469610071,1.664878889334313,26.200000000000237,1.274427099412625
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.08407138456941218,0.855819194555443,29.10000000000028,0.1844347210676758
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03399565582140526,2.021126572551476,27.250000000000252,1.352739262253976
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,9,102009,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.03585690028081992,1.976478606686492,27.80000000000026,1.380340002919835
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.06498293529992953,1.3074095898667029,27.70000000000026,0.7961305900132549
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.01223367178008847,1.1215228359798062,28.150000000000265,0.34091097883817345
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.0646852433352398,1.147306976634111,26.800000000000246,0.65143253524098
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.015038904050257025,2.2084556395595842,25.850000000000232,1.2179506222242213
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03864399020221956,2.292376173920288,27.05000000000025,1.5675569681448456
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03211103505920057,2.1454798632078274,25.200000000000223,0.9906729986813051
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.016837261943855757,1.2079702256092926,28.650000000000272,1.2079702256092926
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,10,102010,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06516728706598159,0.4125543459846843,29.700000000000287,0.3360936375562282
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.03434296335586358,0.7339561181511806,25.900000000000233,0.627488646460448
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.028321939437166155,1.537899545936602,24.90000000000022,0.676027020408553
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.015898739795172787,1.1564417281039854,27.450000000000255,0.9021699513787018
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.052152269048933254,2.497061926927501,25.300000000000225,1.0746130508431815
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.015296507356201937,2.0562493865559333,25.450000000000227,1.397567092698544
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.10707451111717886,0.04525843398330212,28.100000000000264,0.04525843398330212
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.04468920105975713,1.0595340894351233,26.800000000000246,0.44484600041518535
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,11,102011,7,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.026804795075474987,1.4837073659275273,30.050000000000292,0.6158696299394192
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,12,102012,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.03261766908854693,1.3101197129579443,29.000000000000277,0.7925200117129907
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,12,102012,1,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.03387061522471782,1.9217195078808131,28.55000000000027,0.7521713441902503
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,12,102012,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.04194959554682735,1.9456774465162818,28.200000000000266,0.4986531592091057
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,12,102012,3,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.017462679317503556,2.264342193228574,27.950000000000262,0.8304083358065822
case1_supplement_n400_no_attention_residual,case1,no_attention_residual,12,102012,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.027405322304564928,1.3175855940752623,26.850000000000247,0.4790217739589453
