condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
case1_supplement_n400_no_gru,case1,no_gru,161,102161,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0628472222222233,0.04038277716750732,1.5646332458807894,27.362500000000253,0.9954368120882146,2.911228063928765,441753.2904666242,30.6,0.0,0.0,0.0,0.0,1.0,11.379634212234642,0.013188535958485362,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,162,102162,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06631944444444549,0.03746676896150351,1.2863198925629602,25.543750000000227,0.8032811481818418,2.971673932482283,441625.83514741214,27.200000000000003,0.0,0.0,0.0,0.0,1.0,11.529168337929445,0.014294632002297112,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,163,102163,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06770833333333415,0.03417495898188988,1.5296336786801876,27.431250000000254,0.9111528047706866,2.6893533563571665,441705.8648069644,30.3,0.0,0.0,0.0,0.0,1.0,11.520948841023833,0.013480880752063506,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,164,102164,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06527777777777895,0.03732730983120475,1.4598809445783547,26.90625000000025,0.8969273447567241,2.6224581146534325,441704.3277196141,28.55,0.0,0.0,0.0,0.0,1.0,12.497929637354117,0.010565602357658454,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,165,102165,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.05069444444444511,0.03314634912537853,1.1375370724191436,26.687500000000245,0.8335142482213225,2.986270029669182,441699.41410410346,27.650000000000002,0.0,0.0,0.0,0.0,1.0,13.247191561347542,0.01814535735019709,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,166,102166,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06423611111111227,0.03186440764483239,1.5593625351015676,26.762500000000244,0.9863449984778679,2.569303765079348,441678.57510834245,29.150000000000002,0.0,0.0,0.0,0.0,1.0,11.616799774323118,0.018367579396253077,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,167,102167,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0600694444444454,0.027342860019808686,1.4076582592236386,26.656250000000245,0.8164574647373328,2.0682301442976203,441677.7668436367,28.25,0.0,0.0,0.0,0.0,1.0,11.302855196003458,0.018075629753395713,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,168,102168,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06631944444444562,0.0354102849618416,1.5774001449805208,26.293750000000237,0.8265684346193559,2.9787578075087877,441653.1037098337,29.200000000000003,0.0,0.0,0.0,0.0,1.0,13.168603190606019,0.014251295667218365,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,169,102169,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0722222222222233,0.026266557550934943,1.6645100169503448,27.86875000000026,0.9144932996245393,2.9061421342393836,441756.9530120216,29.450000000000003,0.0,0.0,0.0,0.0,1.0,10.543111953769825,0.009046488552110614,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,170,102170,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07152777777777874,0.026869150752646676,1.5042106985634347,26.006250000000236,0.8298019346673499,2.658752970226682,441612.21835241345,29.700000000000003,0.0,0.0,0.0,0.0,1.0,11.961473786768533,0.012596069263146664,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,171,102171,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06527777777777895,0.033080137254218746,1.6006921332476107,26.26875000000024,0.9769168541778968,2.7881056280080605,441655.078983612,27.8,0.0,0.0,0.0,0.0,1.0,9.293764663133727,0.013399736081061151,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,172,102172,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.062152777777778466,0.028274739408781495,1.8063632548807582,27.193750000000254,1.009591555616332,2.9094249999993234,441707.66981485905,28.450000000000003,0.0,0.0,0.0,0.0,1.0,10.61154031885438,0.014939094105308637,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,173,102173,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06597222222222321,0.03628212751706367,1.2857799547286677,27.631250000000257,0.6920172076684409,2.196951369265053,441746.2282139306,28.900000000000002,0.0,0.0,0.0,0.0,1.0,10.290147029966384,0.015270317941555188,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,174,102174,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07291666666666771,0.03623265806234738,1.1465006598409306,26.831250000000246,0.679919767806229,2.7654872710091296,441679.91148178617,29.900000000000002,0.0,0.0,0.0,0.0,1.0,11.28855198368472,0.02534248371122709,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,175,102175,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.060763888888889506,0.03724279794309211,1.2898582741744171,26.40625000000024,0.8289644757792047,2.3910566235282027,441644.6257880883,27.75,0.0,0.0,0.0,0.0,1.0,10.207410211347371,0.012404990176650865,0.0,nan,nan,nan,0
case1_supplement_n400_no_gru,case1,no_gru,176,102176,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07222222222222299,0.04023699048318108,1.4001165491665402,26.900000000000247,0.85417828243904,2.944217209960844,441683.1153912505,29.700000000000003,0.0,0.0,0.0,0.0,1.0,11.721961083012864,0.021087771038090876,0.0,nan,nan,nan,0
