condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
case1_supplement_n400_no_gru,case1,no_gru,161,102161,0,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.03732626989386008,2.0487713740626985,30.6000000000003,1.1036141911328177
case1_supplement_n400_no_gru,case1,no_gru,161,102161,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.030812285611962986,1.114336212608914,28.200000000000266,1.114336212608914
case1_supplement_n400_no_gru,case1,no_gru,161,102161,2,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.022599587715382858,2.262964025121096,28.250000000000266,1.3579143612448703
case1_supplement_n400_no_gru,case1,no_gru,161,102161,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.023751495978969788,1.3798121568751254,26.750000000000245,0.5706468317733426
case1_supplement_n400_no_gru,case1,no_gru,161,102161,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.08068365928145946,0.15899634767680465,25.00000000000022,0.15899634767680465
case1_supplement_n400_no_gru,case1,no_gru,161,102161,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.040834292481991025,1.687229662250129,25.450000000000227,1.0013732947181315
case1_supplement_n400_no_gru,case1,no_gru,161,102161,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.03946956568387778,1.487098380610742,27.10000000000025,1.3120156640161944
case1_supplement_n400_no_gru,case1,no_gru,161,102161,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04758506069255462,2.377857807840806,27.550000000000257,1.2622154193310973
case1_supplement_n400_no_gru,case1,no_gru,162,102162,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.029213847286416433,0.9049865134542309,25.850000000000232,0.7094930567390119
case1_supplement_n400_no_gru,case1,no_gru,162,102162,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.026740941384708353,0.9516552742574947,27.20000000000025,0.30010320095331017
case1_supplement_n400_no_gru,case1,no_gru,162,102162,2,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.03308963760168051,1.6621063112571772,24.500000000000213,0.6908770443315856
case1_supplement_n400_no_gru,case1,no_gru,162,102162,3,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.021226194762538415,1.3239978649687192,24.850000000000218,0.982132264631602
case1_supplement_n400_no_gru,case1,no_gru,162,102162,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.015147151214964136,0.5402304040948455,27.15000000000025,0.5402304040948455
