condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
case1_supplement_n400_no_gru,case1,no_gru,1,102001,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.019785242337384917,2.1237426563873023,29.25000000000028,1.0724113142487897
case1_supplement_n400_no_gru,case1,no_gru,1,102001,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.04051114735505484,1.9176363983731666,24.750000000000217,1.0789016886641665
case1_supplement_n400_no_gru,case1,no_gru,1,102001,2,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.025200544082792403,1.2234452374046392,27.250000000000252,0.49514157797981007
case1_supplement_n400_no_gru,case1,no_gru,1,102001,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.017882026343432725,1.4683708897250074,26.35000000000024,1.030660056602301
case1_supplement_n400_no_gru,case1,no_gru,1,102001,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.030085005728965747,1.8184598095960802,24.700000000000216,1.4035535489071922
case1_supplement_n400_no_gru,case1,no_gru,1,102001,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.029847620791076404,1.9815616783549403,25.850000000000232,1.315694556634769
case1_supplement_n400_no_gru,case1,no_gru,1,102001,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.018091128333258846,1.7166056973122183,27.90000000000026,0.7291061778059649
case1_supplement_n400_no_gru,case1,no_gru,1,102001,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.031966470234994056,1.1139324139193232,27.70000000000026,1.1139324139193232
case1_supplement_n400_no_gru,case1,no_gru,2,102002,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.0338189777827406,0.8518117999944752,26.850000000000247,0.7622983753541871
case1_supplement_n400_no_gru,case1,no_gru,2,102002,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.02735113786940081,0.6124312999695019,25.450000000000227,0.1962449898392015
case1_supplement_n400_no_gru,case1,no_gru,2,102002,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.02163460835979532,1.7627474174628233,27.400000000000254,1.0428739525818236
case1_supplement_n400_no_gru,case1,no_gru,2,102002,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.06391648071617698,2.031056909426249,24.30000000000021,1.1569849721207845
case1_supplement_n400_no_gru,case1,no_gru,2,102002,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.015449336688630544,1.4255429208071286,23.850000000000204,0.7439138090304793
case1_supplement_n400_no_gru,case1,no_gru,2,102002,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.019713536706137853,2.434017925638152,28.45000000000027,1.6777984966492472
case1_supplement_n400_no_gru,case1,no_gru,2,102002,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06817823072993945,1.4032883870536264,28.200000000000266,0.723966770528641
case1_supplement_n400_no_gru,case1,no_gru,2,102002,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.02499879840945235,1.4523078610659086,25.200000000000223,1.3412994423202602
case1_supplement_n400_no_gru,case1,no_gru,3,102003,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.05487008949135482,1.3714812888375976,27.600000000000257,1.3044875790591686
case1_supplement_n400_no_gru,case1,no_gru,3,102003,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.016671368130445754,0.908385833322548,27.75000000000026,0.3892995600611229
case1_supplement_n400_no_gru,case1,no_gru,3,102003,2,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.033711826430321674,1.0715583326655633,27.70000000000026,0.39605657634903507
case1_supplement_n400_no_gru,case1,no_gru,3,102003,3,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.032305473697099484,1.0140862933909542,25.300000000000225,0.638054872487675
case1_supplement_n400_no_gru,case1,no_gru,3,102003,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.02063055528705301,0.07732070026823074,27.75000000000026,0.07732070026823074
case1_supplement_n400_no_gru,case1,no_gru,3,102003,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.019410682385474127,1.1684388642415278,27.450000000000255,0.509556903062153
case1_supplement_n400_no_gru,case1,no_gru,3,102003,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.09512439735956706,2.289437077512524,28.250000000000266,1.604435016568323
case1_supplement_n400_no_gru,case1,no_gru,3,102003,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.020972062915255697,2.135998185685663,30.250000000000295,1.5352000794742018
case1_supplement_n400_no_gru,case1,no_gru,4,102004,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.02372937452933346,1.7471177143164214,25.950000000000234,1.1961202749772917
case1_supplement_n400_no_gru,case1,no_gru,4,102004,1,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.035612208043314296,1.7480341581284715,25.500000000000227,1.3507637392632839
case1_supplement_n400_no_gru,case1,no_gru,4,102004,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.028650452244631183,1.2407049702736002,24.800000000000217,0.44162790899917764
case1_supplement_n400_no_gru,case1,no_gru,4,102004,3,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.035574149260518224,1.9283505289379093,26.000000000000234,1.3031628043793642
case1_supplement_n400_no_gru,case1,no_gru,4,102004,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.07321863135564996,0.6695327460283417,27.20000000000025,0.2121871543485134
case1_supplement_n400_no_gru,case1,no_gru,4,102004,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.01555974462970893,0.17067038168201798,28.50000000000027,0.17067038168201798
case1_supplement_n400_no_gru,case1,no_gru,4,102004,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.025305002528693332,1.9404243060191142,27.500000000000256,1.1789044033332412
case1_supplement_n400_no_gru,case1,no_gru,4,102004,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03040625689320836,0.1624915658675978,28.200000000000266,0.1624915658675978
case1_supplement_n400_no_gru,case1,no_gru,5,102005,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.02266341861116759,2.412811044045924,28.000000000000263,1.313865198834197
case1_supplement_n400_no_gru,case1,no_gru,5,102005,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.03206536771161248,0.8568079511990258,25.75000000000023,0.5272983341526246
case1_supplement_n400_no_gru,case1,no_gru,5,102005,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.02745653316959336,2.154157464258814,26.200000000000237,0.8233557253850735
case1_supplement_n400_no_gru,case1,no_gru,5,102005,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.03487116976814655,0.9454451410257466,25.200000000000223,0.33050826407229567
case1_supplement_n400_no_gru,case1,no_gru,5,102005,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01889488513467425,1.4136949392815081,28.150000000000265,0.7216230974119501
case1_supplement_n400_no_gru,case1,no_gru,5,102005,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.023664244108871656,1.7701185226302212,28.150000000000265,0.9255816051404526
case1_supplement_n400_no_gru,case1,no_gru,5,102005,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.04021329560255461,1.7463666870336816,27.500000000000256,1.0899060789449668
case1_supplement_n400_no_gru,case1,no_gru,5,102005,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.023023035573789843,1.5617248026802155,27.75000000000026,0.8887945704671848
case1_supplement_n400_no_gru,case1,no_gru,6,102006,0,3,3,1,1,1,0.15000000000000213,0.0666666666666688,0.014162172840048707,2.2169271948672713,27.75000000000026,1.111615095816169
case1_supplement_n400_no_gru,case1,no_gru,6,102006,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.04066280343544945,1.6564392468204538,27.350000000000254,1.2078783080491862
case1_supplement_n400_no_gru,case1,no_gru,6,102006,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.02536394170163649,1.8866826166719488,24.550000000000214,1.0617649696593412
case1_supplement_n400_no_gru,case1,no_gru,6,102006,3,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.03120491909431349,1.3799825918209245,25.350000000000225,0.35070979469098157
