condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
case1_supplement_n400_no_trust,case1,no_trust,321,102321,0,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.09265350986731073,1.3054930496580344,25.80000000000023,1.290970027048359
case1_supplement_n400_no_trust,case1,no_trust,321,102321,1,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.006506312361447314,1.4805549452571771,28.000000000000263,0.8723123446363426
case1_supplement_n400_no_trust,case1,no_trust,321,102321,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.020879557896430704,2.370399384386872,27.05000000000025,1.7506843020187837
case1_supplement_n400_no_trust,case1,no_trust,321,102321,3,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.027651408088136358,1.9363590181171226,28.45000000000027,1.1948264637806532
case1_supplement_n400_no_trust,case1,no_trust,321,102321,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.05223528618120388,0.8356977919125332,27.450000000000255,0.18496340797821453
case1_supplement_n400_no_trust,case1,no_trust,321,102321,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.02299971373377894,0.4481889650678206,27.450000000000255,0.4481889650678206
case1_supplement_n400_no_trust,case1,no_trust,321,102321,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.033089027313293926,1.919765848256827,27.350000000000254,0.7405535968041154
case1_supplement_n400_no_trust,case1,no_trust,321,102321,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.06303473082879413,2.389746244797953,25.00000000000022,1.6676101928629228
case1_supplement_n400_no_trust,case1,no_trust,322,102322,0,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.06726911182527943,1.0730165939684178,28.850000000000275,0.5552951662965241
case1_supplement_n400_no_trust,case1,no_trust,322,102322,1,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.04901345680929636,1.076272970804344,27.450000000000255,0.6827940207878663
case1_supplement_n400_no_trust,case1,no_trust,322,102322,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.01709023995405194,1.373476403515914,26.000000000000234,1.1294255071660235
case1_supplement_n400_no_trust,case1,no_trust,322,102322,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.01890246644969422,1.6927544308047076,29.550000000000285,1.069438183618687
case1_supplement_n400_no_trust,case1,no_trust,322,102322,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.026168386440250005,2.485908590408985,26.650000000000244,1.3217087371377474
case1_supplement_n400_no_trust,case1,no_trust,322,102322,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017429588450545007,1.4706519117674217,29.550000000000285,0.9547988380953734
case1_supplement_n400_no_trust,case1,no_trust,322,102322,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.014047851514318324,1.643044284751665,27.600000000000257,0.5500126077261152
case1_supplement_n400_no_trust,case1,no_trust,322,102322,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02247758586134086,1.3425684683268173,30.150000000000293,0.8479024212089477
case1_supplement_n400_no_trust,case1,no_trust,323,102323,0,3,3,1,1,1,0.25000000000000355,0.10000000000000024,0.04073892740359537,1.2337496351859756,26.950000000000248,0.9244982977817017
case1_supplement_n400_no_trust,case1,no_trust,323,102323,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.030977046450899468,1.6660382924867605,26.900000000000247,0.9575970070957961
