condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
pooled_ablation_n1000_full_case1,case1,full,201,100201,0,3,3,1,1,1,0.25000000000000355,0.08888888888889095,0.0837634698367981,0.5005366827877806,26.800000000000246,0.48969708246449145
pooled_ablation_n1000_full_case1,case1,full,201,100201,1,3,3,1,1,1,0.25000000000000355,0.10000000000000024,0.020891558264101398,1.4516390229781215,26.35000000000024,0.37480871177948233
pooled_ablation_n1000_full_case1,case1,full,201,100201,2,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.01556849653135546,1.6688383126512198,26.30000000000024,0.9444800217729097
pooled_ablation_n1000_full_case1,case1,full,201,100201,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.046595135511803616,2.186534719615709,28.850000000000275,1.2568304225114537
pooled_ablation_n1000_full_case1,case1,full,201,100201,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.030337923039842743,1.0473595215672453,27.80000000000026,1.0473595215672453
pooled_ablation_n1000_full_case1,case1,full,201,100201,5,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.057680076387700646,0.7749404669496596,26.650000000000244,0.7749404669496596
pooled_ablation_n1000_full_case1,case1,full,201,100201,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.12899402387146608,0.5650284625305315,27.550000000000257,0.5650284625305315
pooled_ablation_n1000_full_case1,case1,full,201,100201,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.036948198438672857,0.6943680676912495,27.400000000000254,0.6943680676912495
pooled_ablation_n1000_full_case1,case1,full,202,100202,0,3,3,1,1,1,0.25000000000000355,0.11111111111111309,0.030809019389946336,1.5353354550389133,28.650000000000272,0.8137523809508993
pooled_ablation_n1000_full_case1,case1,full,202,100202,1,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.01263768162834628,1.4074798314365278,27.05000000000025,0.8262417013908935
pooled_ablation_n1000_full_case1,case1,full,202,100202,2,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.031060779710942912,1.2458828031496476,28.100000000000264,0.8527516871200082
pooled_ablation_n1000_full_case1,case1,full,202,100202,3,3,3,1,1,1,0.05000000000000071,0.02222222222222096,0.02033598520326908,1.428043763365519,25.00000000000022,1.1606143254788102
pooled_ablation_n1000_full_case1,case1,full,202,100202,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.0180287726237277,0.6921916416614757,26.100000000000236,0.6921916416614757
pooled_ablation_n1000_full_case1,case1,full,202,100202,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.036508295962847014,0.5500317308239537,26.35000000000024,0.5500317308239537
pooled_ablation_n1000_full_case1,case1,full,202,100202,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017673529160444353,2.242649226569558,26.850000000000247,1.247744907770508
pooled_ablation_n1000_full_case1,case1,full,202,100202,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.029666751089535433,0.5033972602869872,23.400000000000198,0.5033972602869872
pooled_ablation_n1000_full_case1,case1,full,203,100203,0,3,3,1,1,1,0.15000000000000213,0.06666666666666643,0.01482418975477647,1.3407263609294364,26.700000000000244,0.725582781407977
pooled_ablation_n1000_full_case1,case1,full,203,100203,1,3,3,1,1,1,0.25000000000000355,0.08888888888889095,0.015006677543340135,1.6564456740968316,27.350000000000254,0.358628131097064
pooled_ablation_n1000_full_case1,case1,full,203,100203,2,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.024231813816160307,1.7027609399197488,26.50000000000024,0.3961956695784686
pooled_ablation_n1000_full_case1,case1,full,203,100203,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.048058399726584454,0.9641407969608119,26.700000000000244,0.34050619970228674
pooled_ablation_n1000_full_case1,case1,full,203,100203,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02601087897381866,2.0300479929401996,28.650000000000272,1.315789877869339
pooled_ablation_n1000_full_case1,case1,full,203,100203,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.028319040273779558,0.8487034655401882,28.60000000000027,0.7988662459715395
pooled_ablation_n1000_full_case1,case1,full,203,100203,6,2,2,1,1,1,0.25000000000000355,0.12500000000000178,0.03073628137474437,2.127331567585681,28.300000000000267,1.1085632111367745
pooled_ablation_n1000_full_case1,case1,full,203,100203,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.05413993397369484,2.036090719099582,27.600000000000257,1.3831410701352742
pooled_ablation_n1000_full_case1,case1,full,204,100204,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.052000983295041825,0.41548204435758196,27.650000000000258,0.41548204435758196
pooled_ablation_n1000_full_case1,case1,full,204,100204,1,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.02665311802160446,1.4390981489954335,29.650000000000286,0.914701532815482
pooled_ablation_n1000_full_case1,case1,full,204,100204,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.031997565320869344,1.8665452731155971,26.200000000000237,1.1798446895662182
pooled_ablation_n1000_full_case1,case1,full,204,100204,3,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.06487213131194851,1.5101443238264391,24.450000000000212,1.0245767960570535
pooled_ablation_n1000_full_case1,case1,full,204,100204,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.025783342386688866,2.089626119279762,23.5500000000002,0.9588861141433482
pooled_ablation_n1000_full_case1,case1,full,204,100204,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.023866107875082258,0.7718453738411554,25.80000000000023,0.41500392126479124
pooled_ablation_n1000_full_case1,case1,full,204,100204,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.035185215477786504,0.24493772896199262,26.250000000000238,0.24493772896199262
pooled_ablation_n1000_full_case1,case1,full,204,100204,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.036584602474615785,0.6296233268007334,27.650000000000258,0.6296233268007334
pooled_ablation_n1000_full_case1,case1,full,205,100205,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.03720991453224116,1.954926486917871,27.400000000000254,0.8303917158337394
pooled_ablation_n1000_full_case1,case1,full,205,100205,1,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.009666122921852616,2.005258968018209,27.650000000000258,1.4078064135237567
pooled_ablation_n1000_full_case1,case1,full,205,100205,2,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.01327523067510316,1.5798297271633392,27.05000000000025,0.6019716335095072
pooled_ablation_n1000_full_case1,case1,full,205,100205,3,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.01316153246618762,1.1397155111067068,26.50000000000024,0.3881840368866034
pooled_ablation_n1000_full_case1,case1,full,205,100205,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.03012308694478693,0.8916510647104021,26.850000000000247,0.8916510647104021
