condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.021463641701395437,1.9733492762671403,25.400000000000226,0.8836456756323076
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,1,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.027312969068699417,1.4482578751371122,25.65000000000023,0.7211950184850003
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.03553379584859384,1.1676249392480564,26.35000000000024,0.7743970895129478
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.008443966971273179,1.8254725165685315,25.950000000000234,0.97081428229755
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,4,2,2,1,1,1,0.0,0.0,0.013089876835689667,0.3209721355730367,24.450000000000212,0.3209721355730367
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.024913009627949772,1.9093077196487125,26.200000000000237,1.6192966932541868
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.026865097801108403,1.4016676826726922,26.30000000000024,0.48159611787326245
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,401,100401,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.016924096146477934,2.223078458213667,26.250000000000238,1.1124645419297892
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,402,100402,0,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.009420784643378807,2.2892186040254634,27.20000000000025,1.3616260260449957
pooled_ablation_n1000_no_attention_residual_case1,case1,no_attention_residual,402,100402,1,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.018209303882851573,0.7213761843503023,25.300000000000225,0.7213761843503023
