condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
pooled_ablation_n1000_no_gru_case1,case1,no_gru,1,100001,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07152777777777905,0.034386501140484624,1.6854526442045636,27.22500000000025,0.9341380051143477,2.8729366551590547,441734.64558397775,29.25,0.0,0.0,0.0,0.0,1.0,11.134457173182561,0.011390877609151367,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,2,100002,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.059027777777778866,0.0318003112585695,1.1316771745580108,27.12500000000025,0.6353708173252003,1.7972065334329193,441702.5942127671,28.55,0.0,0.0,0.0,0.0,1.0,10.992175034864175,0.013105251259929878,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,3,100003,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06805555555555629,0.04112182178111703,1.5621259010490098,26.687500000000245,0.9774010107839157,2.7978524147736326,441686.79043903976,29.3,0.0,0.0,0.0,0.0,1.0,10.48926045472851,0.01282783297825048,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,4,100004,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0708333333333345,0.037395839278533585,1.7640325469030536,27.03750000000025,1.0314512303346248,2.7798551202308683,441702.503592698,29.650000000000002,0.0,0.0,0.0,0.0,1.0,11.583342740211998,0.011977139421666425,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,5,100005,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06388888888888955,0.038045359698279595,1.2052946034386114,26.706250000000246,0.8081175989278829,2.9950859646898063,441681.7648281033,28.700000000000003,0.0,0.0,0.0,0.0,1.0,10.147721493071172,0.01622787167323649,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,6,100006,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06215277777777861,0.030266258871299936,1.7335455335212113,26.700000000000244,0.8344936563230869,2.6863665857917067,441667.03359051945,28.55,0.0,0.0,0.0,0.0,1.0,13.326208930492685,0.012796055131147097,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,7,100007,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06493055555555667,0.03304786762216538,1.538761187521723,28.40000000000027,0.8186061754414876,2.7209046564384702,441774.08906304307,30.05,0.0,0.0,0.0,0.0,1.0,10.598051251808506,0.021130752767168925,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,8,100008,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07430555555555682,0.043043464620405744,1.2122856915784084,26.812500000000245,0.6044202636669741,1.4745758273657301,441698.33530268277,27.900000000000002,0.0,0.0,0.0,0.0,1.0,10.628772667821842,0.019990957978587246,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,9,100009,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.060763888888890095,0.03109714284914894,1.5094471598948287,26.46875000000024,1.0238281110501233,2.9833898519666864,441680.04617770313,28.900000000000002,0.0,0.0,0.0,0.0,1.0,8.285180429559885,0.021201892674847473,0.0,nan,nan,nan,0
pooled_ablation_n1000_no_gru_case1,case1,no_gru,10,100010,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0663194444444452,0.04174856873893704,1.3234497771674847,28.112500000000264,0.9312370447183713,2.863158122633418,441767.3580275487,29.900000000000002,0.0,0.0,0.0,0.0,1.0,10.645404921869092,0.025285657332858515,0.0,nan,nan,nan,0
