condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_full_case2,case2,full,1,99401,0,3,3,1,1,1,0.20000000000000284,0.0666666666666688,0.8456032197693832,2.3189285897431984,26.900000000000247,2.3189285897431984
formal_ablation_full_case2,case2,full,1,99401,1,3,3,1,1,1,0.20000000000000284,0.0777777777777781,0.40899103276308074,2.3795233130015863,27.500000000000256,2.1967270769812535
formal_ablation_full_case2,case2,full,1,99401,2,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.5899409742183118,1.8282305227224305,29.25000000000028,0.6971174867949045
formal_ablation_full_case2,case2,full,1,99401,3,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.32492667221481253,1.5624694883187684,29.85000000000029,1.1290684148385737
formal_ablation_full_case2,case2,full,1,99401,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.38262948342334757,2.5567288626298463,26.150000000000237,2.1172603459006147
formal_ablation_full_case2,case2,full,1,99401,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.7693115030574986,1.6763157072792083,28.050000000000264,1.6763157072792083
formal_ablation_full_case2,case2,full,1,99401,6,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.7144516398944505,0.7325815266261144,29.500000000000284,0.7325815266261144
formal_ablation_full_case2,case2,full,1,99401,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.10860197370154766,1.1846728197515266,30.850000000000303,0.9619011261166388
formal_ablation_full_case2,case2,full,2,99402,0,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.8411772524019844,0.9144576186917556,25.400000000000226,0.8485116820645393
formal_ablation_full_case2,case2,full,2,99402,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.28941713568995325,1.7645210991276763,27.90000000000026,1.3677668188273684
formal_ablation_full_case2,case2,full,2,99402,2,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.5420768836559001,1.3559557689388877,25.450000000000227,0.8095580790473019
formal_ablation_full_case2,case2,full,2,99402,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.8594491649414496,1.5250833601595837,28.300000000000267,0.7257197090634638
formal_ablation_full_case2,case2,full,2,99402,4,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.3963030189794658,1.8182745420159612,27.85000000000026,1.6869072644874308
formal_ablation_full_case2,case2,full,2,99402,5,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2298533023696131,1.9769738325529653,31.90000000000032,1.6473007731493072
formal_ablation_full_case2,case2,full,2,99402,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.6316992258936138,1.2998374447179748,30.300000000000296,0.41114233528621114
formal_ablation_full_case2,case2,full,2,99402,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.47356709724609575,1.0721877208353001,28.900000000000276,0.5877256940162194
formal_ablation_full_case2,case2,full,3,99403,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.4476280128845583,1.8165201079748812,25.450000000000227,0.6631766938826079
formal_ablation_full_case2,case2,full,3,99403,1,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.5040028538021613,2.287069183535072,29.30000000000028,2.067834311108863
formal_ablation_full_case2,case2,full,3,99403,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.49211435083422805,2.026362365742016,25.850000000000232,1.0948437958959654
formal_ablation_full_case2,case2,full,3,99403,3,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.2779135047131726,0.9763073139318168,29.20000000000028,0.8784760305117745
formal_ablation_full_case2,case2,full,3,99403,4,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.2982736007167063,1.726786871163387,25.150000000000222,1.5511055332102082
formal_ablation_full_case2,case2,full,3,99403,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.32782297004536376,1.877433659931566,26.550000000000242,1.5503334590399345
formal_ablation_full_case2,case2,full,3,99403,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.6830595955124269,1.8561940421201557,28.850000000000275,0.649891612383227
formal_ablation_full_case2,case2,full,3,99403,7,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.768483081022542,0.4367693477919599,26.45000000000024,0.4367693477919599
formal_ablation_full_case2,case2,full,4,99404,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.4399087753644089,0.6350966045442988,28.250000000000266,0.5855781862899191
formal_ablation_full_case2,case2,full,4,99404,1,3,3,1,1,1,0.25000000000000355,0.10000000000000142,0.7918823513091587,2.049064326092273,29.20000000000028,1.032887321235982
formal_ablation_full_case2,case2,full,4,99404,2,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.2747934230205198,1.7194809450949595,26.200000000000237,1.4529324682409974
formal_ablation_full_case2,case2,full,4,99404,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.35646109968397893,1.5298950777625748,27.85000000000026,1.482949821439374
formal_ablation_full_case2,case2,full,4,99404,4,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.9386437963372574,2.9094029612012067,26.750000000000245,2.9094029612012067
formal_ablation_full_case2,case2,full,4,99404,5,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.604498945192613,2.2375990585824175,26.000000000000234,2.2375990585824175
formal_ablation_full_case2,case2,full,4,99404,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.7190683576479852,1.0672687775769958,26.40000000000024,0.4049351601618097
formal_ablation_full_case2,case2,full,4,99404,7,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.4375662888076607,0.8634126821962965,29.95000000000029,0.8483987201436302
formal_ablation_full_case2,case2,full,5,99405,0,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.5754694759289537,1.7007439600677359,27.00000000000025,0.883755151298886
formal_ablation_full_case2,case2,full,5,99405,1,3,3,1,1,1,0.0,0.0,0.4015806372613005,1.7005185183972298,28.050000000000264,1.7005185183972298
