condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,1,99401,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.05416666666666744,0.5202724703828916,1.6655894568006135,28.512500000000273,1.36624206166932,2.8097023971550388,441813.17736731144,30.85,0.0,0.0,0.0,0.0,1.0,12.945481662898853,0.01275758394920506,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,2,99402,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.051388888888889525,0.5309460137705453,1.5662665185411022,28.250000000000266,1.0546277612541979,2.8726286618870733,441823.81586717104,31.900000000000002,0.0,0.0,0.0,0.0,1.0,10.960692987239845,0.010933130471326295,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,3,99403,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04513888888888943,0.47791892421608806,1.576900234410883,27.10000000000025,1.0740121338101334,2.618567332430903,441760.11017235107,29.3,0.0,0.0,0.0,0.0,1.0,9.566477723337957,0.020034038434256014,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,4,99404,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.05416666666666773,0.5711456885193837,1.6302639959345715,27.581250000000257,1.347849670842818,2.976779145988967,441766.5300651391,29.950000000000003,0.0,0.0,0.0,0.0,1.0,12.66222415642525,0.012383786465956085,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,5,99405,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03437500000000049,0.4829505993325505,1.798733676844635,27.80000000000026,1.4244221516597049,2.7475032920234552,441795.3303897597,29.6,0.0,0.0,0.0,0.0,1.0,10.24047534603511,0.01259035055115497,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,6,99406,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.040972222222223,0.5268359223549623,1.5446180564537204,27.74375000000026,1.1525459818030277,2.9570901607051607,441795.8843858737,29.400000000000002,0.0,0.0,0.0,0.0,1.0,9.064531064220052,0.021232297348324356,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,7,99407,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.03680555555555613,0.46437010337660556,1.9777663762209625,25.387500000000223,1.5976175438804243,2.9078385642974194,441650.0871660298,27.55,0.0,0.0,0.0,0.0,1.0,12.423262495156298,0.01332181474696646,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,8,99408,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.04409722222222305,0.526752333380786,1.8458452899585,28.825000000000276,1.421226234979188,2.7137230490301576,441855.10667531285,31.450000000000003,0.0,0.0,0.0,0.0,1.0,11.74268458576189,0.021990661522667328,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,9,99409,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0402777777777789,0.5877376396661789,1.783767576544148,25.943750000000236,1.4504734830933312,2.8566892154870738,441701.89331754687,27.55,0.0,0.0,0.0,0.0,1.0,9.979026627926538,0.013191945693670479,0.0,nan,nan,nan,0
formal_ablation_no_attention_residual_case2,case2,no_attention_residual,10,99410,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.043402777777778345,0.4360193253310045,1.8658922296642024,28.206250000000267,1.3310116485811911,2.31245015679534,441804.6548842339,31.85,0.0,0.0,0.0,0.0,1.0,9.487997678028702,0.01779085254445839,0.0,nan,nan,nan,0
