condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_gru_case1,case1,no_gru,41,98441,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08194444444444571,0.033717158043154144,1.003419899818223,26.618750000000244,0.48286311050443054,1.4235677166336986,441670.2595866911,28.5,0.0,0.0,0.0,0.0,1.0,10.599238884239217,0.021209665536236783,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,42,98442,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07500000000000122,0.032678434338865664,1.4974254785536938,26.012500000000234,0.8653991719382725,2.814014688275726,441621.8661275845,27.700000000000003,0.0,0.0,0.0,0.0,1.0,9.931936512534449,0.013867986630799722,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,43,98443,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.054861111111111985,0.03326729922287111,1.278671843095232,26.712500000000247,0.9129522554023032,2.9142409470810278,441687.6394032892,30.400000000000002,0.0,0.0,0.0,0.0,1.0,10.587198544981725,0.015332889797736584,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,44,98444,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06527777777777866,0.02990935353147307,1.9781687869639224,27.693750000000257,1.2088113106591105,2.914241604726319,441741.5144760885,29.3,0.0,0.0,0.0,0.0,1.0,11.320695495733686,0.01675755642920321,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,45,98445,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06041666666666753,0.03378315887694018,0.8571837635817074,27.337500000000254,0.5661928310925934,2.25851928974006,441735.800339992,28.700000000000003,0.0,0.0,0.0,0.0,1.0,12.57984837401066,0.014578661109566215,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,46,98446,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.08090277777777874,0.035127040757407496,1.6745959047078653,27.562500000000256,0.8418391960722907,2.672302264351969,441726.2711668912,29.650000000000002,0.0,0.0,0.0,0.0,1.0,12.053266301566365,0.0198103146356986,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,47,98447,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06666666666666776,0.04169196091823352,1.4248018234068907,26.062500000000234,0.9537927665276273,2.9575921483023193,441641.66583771294,29.35,0.0,0.0,0.0,0.0,1.0,10.099489763600149,0.011602773862606055,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,48,98448,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06736111111111201,0.04271023910042686,1.65984174648289,26.868750000000247,1.0951860112853633,2.908205453300713,441709.96062784863,29.200000000000003,0.0,0.0,0.0,0.0,1.0,7.5906638398481,0.009987187913257731,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,49,98449,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06805555555555642,0.039613624119099036,1.5870354679181577,26.40000000000024,0.9305343548367174,2.4803751801470586,441673.62231328234,29.450000000000003,0.0,0.0,0.0,0.0,1.0,13.364105704321585,0.01417238686448156,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,50,98450,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06562500000000109,0.03729153269370933,1.5874915514797752,26.46250000000024,0.9519533476600271,2.4863753606171834,441676.0467641074,27.55,0.0,0.0,0.0,0.0,1.0,9.59856504343705,0.01717767773298369,0.0,nan,nan,nan,0
