condition,case,variant,episode,seed,attack_pattern,assignment_mode,target_coverage_success,all_defenders_hit,cooperative_success,mission_success,failure_class,targets_covered,complete_groups,coordinated_groups,E_co_time_s,E_n_g,E_miss_m,E_t_s,mean_closest_approach_m,worst_closest_approach_m,mean_agent_return,simulated_time_s,sensor_delay_ms,position_noise_std_m,velocity_noise_std_mps,command_lag_ms,initial_perturbation_scale,defender_position_rms_m,attacker_radial_scale_std,idbo_runtime_ms,idbo_best_cost,idbo_repaired_cost,idbo_final_disagreement,assignment_repair_moves
formal_ablation_no_gru_case1,case1,no_gru,1,98401,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06250000000000089,0.042996017425390595,1.3178567716136946,25.756250000000232,0.8538526258619177,2.4895268267886324,441647.7209814664,26.85,0.0,0.0,0.0,0.0,1.0,10.089038716799314,0.017328369286258118,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,2,98402,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06388888888889,0.03393081040460849,1.4872431089200036,26.27500000000024,0.8536884906846579,2.506221164181649,441652.37656651903,28.900000000000002,0.0,0.0,0.0,0.0,1.0,11.086249187312271,0.01915025684397913,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,3,98403,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06354166666666758,0.030346977253314904,1.145708699877416,27.206250000000253,0.7238316231985495,2.763613311899559,441677.74753446283,29.400000000000002,0.0,0.0,0.0,0.0,1.0,8.10868600457866,0.017332392802764142,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,4,98404,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07013888888888964,0.03330979139121466,1.302253118202352,26.65625000000024,0.6237334497827746,2.0862174346113593,441680.5045031536,28.900000000000002,0.0,0.0,0.0,0.0,1.0,11.874800704889331,0.01100320277725014,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,5,98405,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.061805555555556335,0.03774715560660351,1.3117426023684806,27.13125000000025,0.837582968173322,2.8523732891012985,441702.2046423942,29.75,0.0,0.0,0.0,0.0,1.0,10.512647048496591,0.011107487162328846,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,6,98406,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.07152777777777874,0.03002474405750391,1.6019002348266844,27.400000000000254,0.8240654950014139,2.2363149160541664,441728.06373257114,29.05,0.0,0.0,0.0,0.0,1.0,12.769005482600699,0.016303483256259493,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,7,98407,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.057986111111111883,0.029570913489889494,1.2775722584748483,27.13125000000025,0.7671610031414392,2.9345592260565727,441709.3468526409,28.0,0.0,0.0,0.0,0.0,1.0,11.860496042856475,0.014816447615196356,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,8,98408,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.06458333333333441,0.025882248354524465,1.6227174041459669,27.206250000000253,0.8944083728515805,2.122796213712537,441736.82276055624,28.8,0.0,0.0,0.0,0.0,1.0,10.912427043262094,0.013195651398567184,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,9,98409,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.0684027777777787,0.038115093677232315,1.4768166373450418,27.18125000000025,0.8320661656827794,2.8437540765823486,441726.3458694614,28.650000000000002,0.0,0.0,0.0,0.0,1.0,9.34654427939321,0.012349343333738183,0.0,nan,nan,nan,0
formal_ablation_no_gru_case1,case1,no_gru,10,98410,nominal,fixed,1,1,1,1,mission_success,8,8,8,0.053125000000001046,0.025758210734706563,1.270582969661703,26.806250000000247,0.7427780387254104,2.834650608769646,441726.6411551029,27.900000000000002,0.0,0.0,0.0,0.0,1.0,12.036220285768271,0.013555525876730586,0.0,nan,nan,nan,0
