condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_trust_case1,case1,no_trust,1,98401,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.05148263996783109,1.5296587872407554,25.400000000000226,0.9225156432435043
formal_ablation_no_trust_case1,case1,no_trust,1,98401,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.028313312142406538,0.32346566526052417,26.45000000000024,0.32346566526052417
formal_ablation_no_trust_case1,case1,no_trust,1,98401,2,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.04554286363462356,0.38320948484974254,24.95000000000022,0.38320948484974254
formal_ablation_no_trust_case1,case1,no_trust,1,98401,3,3,3,1,1,1,0.05000000000000071,0.02222222222222096,0.0100897015537287,1.22643828694632,27.00000000000025,1.22643828694632
formal_ablation_no_trust_case1,case1,no_trust,1,98401,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.017068648603177788,0.8064991095893478,26.600000000000243,0.8064991095893478
formal_ablation_no_trust_case1,case1,no_trust,1,98401,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.0962908015966914,0.7954769535356987,27.10000000000025,0.7954769535356987
formal_ablation_no_trust_case1,case1,no_trust,1,98401,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04493420607495507,1.8441975257125256,25.450000000000227,1.737813493218818
formal_ablation_no_trust_case1,case1,no_trust,1,98401,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.042064682669941685,2.12655011807482,25.80000000000023,1.432511757716698
formal_ablation_no_trust_case1,case1,no_trust,2,98402,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.06800268866593218,2.410348893891086,26.650000000000244,1.0551477056860692
formal_ablation_no_trust_case1,case1,no_trust,2,98402,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.03263027189768983,2.031134765249219,25.10000000000022,1.0791784287281043
formal_ablation_no_trust_case1,case1,no_trust,2,98402,2,3,3,1,1,1,0.05000000000000071,0.022222222222223326,0.050164640979594576,1.1971044234425303,26.550000000000242,1.0017559709076258
formal_ablation_no_trust_case1,case1,no_trust,2,98402,3,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.022142391364581803,0.8751819162115728,25.150000000000222,0.4799118391549119
formal_ablation_no_trust_case1,case1,no_trust,2,98402,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.014895514476270612,0.8116876671005732,27.950000000000262,0.17532661041669972
formal_ablation_no_trust_case1,case1,no_trust,2,98402,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.020041217924691032,0.9306255720818047,25.150000000000222,0.3016202919218748
formal_ablation_no_trust_case1,case1,no_trust,2,98402,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.021263615150513133,0.8344417322118671,29.25000000000028,0.7850008584709101
formal_ablation_no_trust_case1,case1,no_trust,2,98402,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.026274209818447018,2.119286793868866,27.00000000000025,1.4382468945401508
formal_ablation_no_trust_case1,case1,no_trust,3,98403,0,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.02889798528404426,1.8532467874418217,28.45000000000027,0.8006714540234975
formal_ablation_no_trust_case1,case1,no_trust,3,98403,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.03547829422967045,1.6745182262573148,27.75000000000026,1.0158122748720542
formal_ablation_no_trust_case1,case1,no_trust,3,98403,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.02592779463036039,1.8028664918891721,25.05000000000022,0.8274785805454422
formal_ablation_no_trust_case1,case1,no_trust,3,98403,3,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.0232971427730778,1.8629197694067183,26.45000000000024,1.2989671180076956
formal_ablation_no_trust_case1,case1,no_trust,3,98403,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.024170728469551442,0.38017639544856807,27.300000000000253,0.38017639544856807
formal_ablation_no_trust_case1,case1,no_trust,3,98403,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.033020129984600764,2.366986159476906,27.950000000000262,1.5922715894247257
formal_ablation_no_trust_case1,case1,no_trust,3,98403,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01870452133164118,0.4068342558324109,29.750000000000288,0.4068342558324109
formal_ablation_no_trust_case1,case1,no_trust,3,98403,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.017979379019605706,1.4831904950630084,27.300000000000253,0.8724840186751561
formal_ablation_no_trust_case1,case1,no_trust,4,98404,0,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.009070528047901929,1.5512571962830997,28.250000000000266,0.9201503311565591
formal_ablation_no_trust_case1,case1,no_trust,4,98404,1,3,3,1,1,1,0.15000000000000213,0.05555555555555595,0.012217049031939367,0.8079292484140222,27.350000000000254,0.7010186918666089
formal_ablation_no_trust_case1,case1,no_trust,4,98404,2,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.019434049628222944,1.5343606913455667,23.6500000000002,1.0639017815883558
formal_ablation_no_trust_case1,case1,no_trust,4,98404,3,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.008208058076481879,0.9350017507601048,27.80000000000026,0.7847199092318299
formal_ablation_no_trust_case1,case1,no_trust,4,98404,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.027032371710120812,1.4425915988651004,29.30000000000028,1.079527024375583
formal_ablation_no_trust_case1,case1,no_trust,4,98404,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.02872403283763301,0.7382107908319508,25.75000000000023,0.7382107908319508
formal_ablation_no_trust_case1,case1,no_trust,4,98404,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03361495455314193,0.7504595452711801,27.75000000000026,0.24602802345260533
formal_ablation_no_trust_case1,case1,no_trust,4,98404,7,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.06738180801811143,0.4188719359135051,25.900000000000233,0.4188719359135051
formal_ablation_no_trust_case1,case1,no_trust,5,98405,0,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.06084104116110337,1.024178533030074,25.850000000000232,0.34618716581303266
formal_ablation_no_trust_case1,case1,no_trust,5,98405,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.009502347222935343,1.7101672267559662,26.30000000000024,1.2833229680481757
formal_ablation_no_trust_case1,case1,no_trust,5,98405,2,3,3,1,1,1,0.05000000000000071,0.02222222222222096,0.05016002060585958,1.0111684190676002,28.200000000000266,1.0111684190676002
formal_ablation_no_trust_case1,case1,no_trust,5,98405,3,3,3,1,1,1,0.20000000000000284,0.08888888888888975,0.04713735550371234,1.6650641519366163,28.650000000000272,0.48057560878206496
formal_ablation_no_trust_case1,case1,no_trust,5,98405,4,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.025967466364541343,1.3805043002652966,25.900000000000233,1.3805043002652966
formal_ablation_no_trust_case1,case1,no_trust,5,98405,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.04501203698345199,2.5098540112376995,26.200000000000237,1.3565963742917464
formal_ablation_no_trust_case1,case1,no_trust,5,98405,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.0300204634405561,1.7007958800572751,30.100000000000293,1.1860789614648977
formal_ablation_no_trust_case1,case1,no_trust,5,98405,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.01373234487689736,2.079602099459761,28.250000000000266,1.0682349596320462
formal_ablation_no_trust_case1,case1,no_trust,6,98406,0,3,3,1,1,1,0.20000000000000284,0.07777777777777928,0.02257461323049774,1.2935857288216743,26.250000000000238,0.8043359319142617
formal_ablation_no_trust_case1,case1,no_trust,6,98406,1,3,3,1,1,1,0.10000000000000142,0.03333333333333499,0.014624956218913953,1.1974830105036813,26.45000000000024,0.5001464579224343
formal_ablation_no_trust_case1,case1,no_trust,6,98406,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.030256181343548554,0.92990094169426,28.55000000000027,0.5786900773186623
formal_ablation_no_trust_case1,case1,no_trust,6,98406,3,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.02219028617301171,2.040358499323923,29.20000000000028,0.5835225145128042
formal_ablation_no_trust_case1,case1,no_trust,6,98406,4,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.024745087643635044,0.9495334808390545,28.55000000000027,0.7798496508383793
formal_ablation_no_trust_case1,case1,no_trust,6,98406,5,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.05582637200021276,1.3255038902606282,28.700000000000273,1.1839342501499825
formal_ablation_no_trust_case1,case1,no_trust,6,98406,6,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.03288691286287486,1.867289109216834,27.550000000000257,1.2142446506844384
formal_ablation_no_trust_case1,case1,no_trust,6,98406,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.020973406718827213,1.4405388591586563,26.250000000000238,1.0247874211081371
formal_ablation_no_trust_case1,case1,no_trust,7,98407,0,3,3,1,1,1,0.10000000000000142,0.04444444444444429,0.02527732336857677,0.5390348163474213,27.85000000000026,0.5390348163474213
