condition,case,variant,episode,seed,target_index,group_size,hit_count,target_covered,group_complete,group_coordinated,arrival_spread_s,E_co_time_s,E_n_g,E_miss_m,E_t_s,closest_approach_m
formal_ablation_no_trust_case2,case2,no_trust,81,99481,0,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.03543832200352375,1.7446872366173822,28.60000000000027,1.5177955838909236
formal_ablation_no_trust_case2,case2,no_trust,81,99481,1,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.3700840890754626,1.675512605565635,26.800000000000246,1.550668012600531
formal_ablation_no_trust_case2,case2,no_trust,81,99481,2,3,3,1,1,1,0.10000000000000142,0.033333333333333805,0.08510947686503928,1.9709255931890952,30.00000000000029,1.5352610947079455
formal_ablation_no_trust_case2,case2,no_trust,81,99481,3,3,3,1,1,1,0.15000000000000213,0.055555555555557135,0.4530156767666395,1.3259915596827887,29.90000000000029,0.6985400591478532
formal_ablation_no_trust_case2,case2,no_trust,81,99481,4,2,2,1,1,1,0.20000000000000284,0.10000000000000142,0.7475722127497703,1.3004187239368223,31.700000000000315,0.23644080358181607
formal_ablation_no_trust_case2,case2,no_trust,81,99481,5,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.6885186976318505,2.1348710956349324,28.850000000000275,2.1348710956349324
formal_ablation_no_trust_case2,case2,no_trust,81,99481,6,2,2,1,1,1,0.10000000000000142,0.05000000000000071,0.3926621351102048,2.125345830548052,29.20000000000028,1.9137281304328266
formal_ablation_no_trust_case2,case2,no_trust,81,99481,7,2,2,1,1,1,0.0,0.0,0.45427395940082427,1.8590475709481336,26.750000000000245,1.8590475709481336
formal_ablation_no_trust_case2,case2,no_trust,82,99482,0,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.808236279190698,2.504303563594874,25.70000000000023,2.504303563594874
formal_ablation_no_trust_case2,case2,no_trust,82,99482,1,3,3,1,1,1,0.15000000000000213,0.06666666666666761,0.0825243778490434,1.5789659398627258,27.450000000000255,1.455507615669384
formal_ablation_no_trust_case2,case2,no_trust,82,99482,2,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.5718316305383859,2.008159804412726,28.950000000000276,2.008159804412726
formal_ablation_no_trust_case2,case2,no_trust,82,99482,3,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.3232651552672394,1.7610260522921972,29.400000000000283,1.3651210675325824
formal_ablation_no_trust_case2,case2,no_trust,82,99482,4,2,2,1,1,1,0.05000000000000071,0.025000000000000355,0.6281538798948132,2.051144850879386,27.650000000000258,1.414516292313416
formal_ablation_no_trust_case2,case2,no_trust,82,99482,5,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.48206311518523687,0.5706747613698764,25.05000000000022,0.3900590332394847
formal_ablation_no_trust_case2,case2,no_trust,82,99482,6,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.3006055838822906,2.4680141309660137,25.350000000000225,2.041452195202122
formal_ablation_no_trust_case2,case2,no_trust,82,99482,7,2,2,1,1,1,0.15000000000000213,0.07500000000000107,0.6261601737943057,0.8098775858757041,30.450000000000298,0.3246708454546069
formal_ablation_no_trust_case2,case2,no_trust,83,99483,0,3,3,1,1,1,0.05000000000000071,0.022222222222222143,0.8128183153704222,0.6090617283933234,27.650000000000258,0.3011471426710431
formal_ablation_no_trust_case2,case2,no_trust,83,99483,1,3,3,1,1,1,0.10000000000000142,0.04444444444444547,0.051278258610632316,2.1880556028024607,25.350000000000225,1.7424782911775776
