update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,442390.1881338842,1.0,1.0,1.0,1.0,1.0,1.0,0.043749999999999734,0.7699778778722646,0.02209272084833397,0.19433641225085074,0.8056635877491493,1,-0.014485532412800239,1.1078947126865386,2.7595349550247192,0.15260132817819488,0.9138600528240204,1.2309548288583756,7.588106939196587,0.043789389038085935,0.0002999978442511331,25.473071336746216
2,2048,442501.080750823,1.0,1.0,1.0,1.0,1.0,1.0,0.02499999999999991,0.7434805446880812,0.04411423300767154,0.22244167386742378,0.7775583261325762,1,-0.0057058149948716165,0.3591427572071552,2.754859459400177,-0.05026001380384475,1.1344106554985047,6.632239732146263,2.3672520101070402,0.34867844010000015,0.0002999913770667033,51.914607524871826
3,3072,486566.3067929894,1.0,1.0,1.0,1.0,1.0,1.0,0.04999999999999982,0.7176184504573107,0.06038621862085717,0.27201123458297716,0.7279887654170228,1,-0.0009213578887283802,0.2722682148218155,2.7391210556030274,-0.01493237827157099,1.0153071194887162,1.0437512949109078,2.7597229063510893,0.04710128697246249,0.0002999805986332205,78.61458492279053
4,4096,706255.1292796135,1.0,1.0,1.0,1.0,1.0,1.0,0.037499999999999645,0.696067616123745,0.07727743333788036,0.30335542950864486,0.6966445704913552,1,0.0008805869147181511,0.33742525726556777,2.7303600192070006,0.03292773943508962,0.9834836632013321,1.8246562257409096,2.711827403306961,0.2806058245912976,0.0002999655092615288,106.37737894058228
5,5120,574067.1578430086,1.0,1.0,1.0,1.0,1.0,1.0,0.059374999999999734,0.6767737259175393,0.09262601442223911,0.3096136056358073,0.6903863943641927,2,0.002752985525876284,0.23596522361040115,2.7219337940216066,0.011071015222580671,0.9976754933595657,1.4974556863307953,2.063979557156563,0.48747024194727473,0.00029994610938679735,132.43234276771545
6,6144,442471.0988859534,1.0,1.0,1.0,1.0,1.0,1.0,0.05624999999999947,0.660394249628731,0.10657237477868459,0.33818336783148667,0.6618166321685134,1,4.2181112803518776e-06,0.14489187709987164,2.7102890610694885,-6.756156298042271e-05,1.0025717556476592,1.3466304510831832,0.8709451749920845,0.1239083950333048,0.00029992239956850794,158.72323298454285
7,7168,442490.1829594583,1.0,1.0,1.0,1.0,1.0,1.0,0.05624999999999902,0.64537002716527,0.11905208945172854,0.36167333128268225,0.6383266687173178,1,-0.0014970796648412943,0.13114940337836742,2.7003562211990357,0.01642650409643851,0.9848656326532363,1.1075625270605087,0.7472246885299683,0.14581412739733718,0.0002998943804904386,185.65763187408447
8,8192,596499.6629485339,1.0,1.0,1.0,1.0,1.0,1.0,0.049999999999998934,0.6301589809910635,0.12953498740333624,0.36815207229666563,0.6318479277033344,1,-0.0010436526034027338,0.1781367849558592,2.6867722868919373,0.013947614940577325,0.9882576793432236,1.1678009569644927,1.8351680979132652,0.2316499673243143,0.0002998620529606442,212.95507502555847
9,9216,596204.5601272769,1.0,1.0,1.0,1.0,1.0,1.0,0.06875000000000009,0.6166617293314445,0.13841345054092757,0.3943006277773859,0.605699372222614,1,-0.00031940441112965345,0.17399671040475367,2.6663227558135985,0.012332470088520875,0.9879271239042282,1.5797766029834748,0.6189139857888222,0.27260330373852043,0.0002998254179114328,238.70121216773987
10,10240,574072.2547769248,1.0,1.0,1.0,1.0,1.0,1.0,0.046874999999999556,0.6046952308304872,0.14647485966232718,0.4106528002248612,0.5893471997751388,2,-0.0029342420399188994,0.14967340417206287,2.645939815044403,0.013151031488360365,0.9877586901187897,1.766353464126587,0.9339565835893154,0.3564408551762018,0.0002997844763993392,263.94194889068604
