update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,442390.1853427999,1.0,1.0,1.0,1.0,1.0,1.0,0.043749999999999734,0.7699778543177137,0.022092717935095183,0.19433641225085074,0.8056635877491493,1,-0.009562168829143047,0.9307830825448036,2.7604426741600037,0.24005651677145634,0.8693697780370713,1.452454435825348,9.113649456202984,0.14778918800354002,0.0002999978442511331,23.248319625854492
2,2048,442498.2360174656,1.0,1.0,1.0,1.0,1.0,1.0,0.02499999999999991,0.7434791178832907,0.044114252490135925,0.22244167386742378,0.7775583261325762,1,0.005578297935426235,0.48732582330703733,2.7549067616462706,-0.0707265350516264,1.088315513730049,2.5055926769971846,1.7292434930801392,0.17116021816536253,0.0002999913770667033,47.569072246551514
3,3072,442580.88180212677,1.0,1.0,1.0,1.0,1.0,1.0,0.043749999999999734,0.7178144657023583,0.060553232912934636,0.27221102766074373,0.7277889723392563,1,-0.0037732406053692102,0.468471772223711,2.740470802783966,0.008809185717926837,0.999399733543396,3.132488751411438,2.3206518590450287,0.6797911089435497,0.0002999805986332205,71.73636507987976
4,4096,750282.4666543901,1.0,1.0,1.0,1.0,1.0,1.0,0.0374999999999992,0.6951963736924012,0.0766506912545608,0.296110243703754,0.7038897562962461,1,0.012717275088652969,0.656781205534935,2.7215541124343874,-0.10545732930821768,1.1091613173484802,1.5118817061185836,4.262941488623619,0.08264672884577005,0.0002999655092615288,95.82149243354797
5,5120,574087.7834210936,1.0,1.0,1.0,1.0,1.0,1.0,0.053124999999999645,0.6752167316144766,0.09143112136730498,0.3223193348966105,0.6776806651033894,2,0.019394069956615568,0.4629432961344719,2.7091140031814573,0.03413163038218856,0.9937315851449966,4.642367720603943,1.8645742684602737,0.43046721000000016,0.00029994610938679735,120.03190875053406
6,6144,442476.6884893477,1.0,1.0,1.0,1.0,1.0,1.0,0.043749999999999734,0.6586801191732284,0.10528349592447366,0.32853148553367373,0.6714685144663263,1,-0.002161663700826466,0.3262557990849018,2.6943098187446592,-0.004292976579649421,1.0043490082025528,1.3077580481767654,1.669037377089262,0.16152704723066696,0.00029992239956850794,145.8266294002533
7,7168,442500.4313143492,1.0,1.0,1.0,1.0,1.0,1.0,0.04374999999999929,0.6437340800934098,0.11787026911229817,0.35783650891210816,0.6421634910878918,1,-0.00044730487279593946,0.34920391365885733,2.6849913358688355,0.004290923542538483,0.9994438141584396,1.2825307458639146,3.187196376919746,0.12672224744028304,0.0002998943804904386,171.7409679889679
8,8192,596517.2125953622,1.0,1.0,1.0,1.0,1.0,1.0,0.043749999999998845,0.6284499617270719,0.12828991436629086,0.3733374766935985,0.6266625233064015,1,-0.0002678529708646238,0.4054957963526249,2.6737560510635374,0.006391967236218665,0.998347994685173,1.6929904013872146,1.8399042565375567,0.22368816003993583,0.0002998620529606442,196.43200063705444
9,9216,596214.8704306483,1.0,1.0,1.0,1.0,1.0,1.0,0.03125,0.6148905321107747,0.1371722156636325,0.4090014064697609,0.5909985935302391,1,-0.002555585012305528,0.3397608779370785,2.6582452416419984,0.02224629358904977,0.9865165710449219,1.1435326874256133,1.4351934000849724,0.24460300300366986,0.0002998254179114328,220.9558641910553
10,10240,574076.499376379,1.0,1.0,1.0,1.0,1.0,1.0,0.05624999999999969,0.6029506374949991,0.14528261311279486,0.41765119549929675,0.5823488045007033,2,0.0013905173787861712,0.28701131641864774,2.6402576684951784,0.009773246067209262,0.9956261307001114,1.7696340739727021,1.570436204969883,0.38859250927605266,0.0002997844763993392,245.28474974632263
11,11264,442359.02602514625,1.0,1.0,1.0,1.0,1.0,1.0,0.05624999999999947,0.5926188728673184,0.15366890003053574,0.409379766141332,0.590620233858668,1,-0.001118408644106239,0.20235064327716829,2.6203016519546507,-0.0032795085374759227,1.0058430880308151,0.8279389619827271,1.2529233500361443,0.064806278843261,0.000299739229605094,270.31681084632874
12,12288,442497.0991278533,1.0,1.0,1.0,1.0,1.0,1.0,0.037499999999999645,0.5846275189910362,0.16097519523961604,0.4332171893147503,0.5667828106852497,1,0.006929299421608448,0.1818065382540226,2.6096918106079103,0.021283691050150867,0.9839536100625992,2.1950913965702057,1.4746549338102342,0.3860832788738573,0.00029968967883358983,295.5591309070587
13,13312,486561.64203223586,1.0,1.0,1.0,1.0,1.0,1.0,0.04999999999999938,0.5746948493654194,0.16621477941189655,0.44027616545487874,0.5597238345451213,1,-9.895354742184281e-05,0.20145465470850468,2.5951324105262756,0.0013846815152272374,0.9989419728517532,1.0559510976076125,2.625985898077488,0.052154126043157105,0.0002996358255138437,319.10484623908997
14,14336,706271.6060980409,1.0,1.0,1.0,1.0,1.0,1.0,0.05624999999999991,0.567659476589572,0.17115410571677475,0.46683673469387754,0.5331632653061225,1,-0.0013751625549048186,0.22891706191003322,2.5877388596534727,0.028368203970882355,0.9774891585111618,1.1583939701318742,2.0807180643081664,0.3207967696585816,0.00029957767119895577,343.69310998916626
