update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,hit_fraction,target_coverage_rate,complete_group_rate,coordinated_group_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,actor_update_fraction,completed_episodes,policy_loss,value_loss,entropy,approx_kl,importance_ratio,actor_grad_norm,critic_grad_norm,adaptive_kl_coef,actor_lr,wall_time_s
1,1024,442548.00583179295,1.0,1.0,1.0,1.0,1.0,1.0,0.04375000000000018,0.7708589281098738,0.02093051668301925,0.1952699994273607,0.8047300005726393,1,-0.018282123922836034,0.8777355968952179,2.7610503315925596,0.23806720445753937,0.8671246290206909,1.0903057500720024,4.813087124377489,0.029192926025390625,0.0002999978442511331,25.375560998916626
2,2048,684572.2868563086,1.0,1.0,1.0,1.0,1.0,1.0,0.037499999999999645,0.7373795200973676,0.0385398271759556,0.21989039730975216,0.7801096026902479,1,-0.0017354003051877954,0.6428332209587098,2.75646253824234,-0.030116821995195164,1.0589685708284378,4.0702046155929565,1.5985341757535934,0.28986133239404993,0.0002999913770667033,50.92299461364746
3,3072,573912.2413528804,1.0,1.0,1.0,1.0,1.0,1.0,0.04375000000000018,0.7124333017266794,0.05383230218187488,0.2727124316382336,0.7272875683617663,1,0.006819298700429499,0.4511119171977043,2.7415907740592957,-0.038622369769502486,1.0375982701778412,3.6759893894195557,0.7729077316820622,0.8392482826463576,0.0002999805986332205,76.03385472297668
4,4096,508182.1585479304,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.6897132445953054,0.06908786525886053,0.29697525206232817,0.7030247479376719,2,0.016818206198513506,0.41879360377788544,2.7272509574890136,-0.2366315284219458,1.2867418229579926,2.7125043511390685,0.9548021793365479,0.10203299857502475,0.0002999655092615288,102.75807166099548
5,5120,442502.9968570098,1.0,1.0,1.0,1.0,1.0,1.0,0.037499999999999645,0.6687467885942255,0.08331769013176323,0.29128941617233844,0.7087105838276616,1,0.003555019327905029,0.38745635002851486,2.717722988128662,0.005225175966202205,1.0021443694829941,2.5391869753599168,2.8230480521917345,0.21883009987107865,0.00029994610938679735,128.8803071975708
6,6144,816296.8131531999,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.650832818667954,0.09551953007480277,0.3356188101669091,0.6643811898330909,1,0.00033810301683843134,0.578844091296196,2.701760482788086,0.026402925837218878,0.9894999712705612,2.201546770334244,2.0807221293449403,0.8076061604554579,0.00029992239956850794,153.7784242630005
7,7168,508113.04571837187,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000031,0.6343342246870172,0.10522825466652479,0.36054802180903117,0.6394519781909688,2,0.0008318987442180514,0.3404266029596329,2.6830439448356627,-0.022579774165910383,1.015988326072693,1.638795417547226,0.8579661607742309,0.09818605521490914,0.0002998943804904386,178.958402633667
8,8192,442641.94489498436,1.0,1.0,1.0,1.0,1.0,1.0,0.03125,0.6198355622201109,0.11634722352693432,0.3792090262678498,0.6207909737321502,1,0.0040685283835046,0.2971910789608955,2.666121006011963,0.01588210358476285,0.990157100558281,1.9853967398405075,1.4216672375798225,0.23397729240862689,0.0002998620529606442,204.88925790786743
9,9216,882266.7778685801,1.0,1.0,1.0,1.0,1.0,1.0,0.04062499999999991,0.6088289004478598,0.12577418570844184,0.3980771816592712,0.6019228183407288,2,-0.0005164009169675409,0.5589382618665695,2.649670195579529,0.019313411243719235,0.9960382521152497,1.5099725037813188,1.662086595594883,0.6294972016655989,0.0002998254179114328,230.7679796218872
10,10240,442695.6361873448,1.0,1.0,1.0,1.0,1.0,1.0,0.03750000000000009,0.5967990046490574,0.1324995329855261,0.39414325286901464,0.6058567471309854,1,-0.0005275100396829657,0.25662711933255195,2.6334032297134398,-0.021351035964949684,1.0156270265579224,1.2746980339288712,0.5023347035050392,0.0765321638526285,0.0002997844763993392,257.3616771697998
