variant,case,seed,final_return,return_auc,target_interception_rate,all_target_interception,target_sync_rate,all_target_sync,mean_sync_spread_s,mean_agent_return,team_return
full,case1,701,164456191.36879882,163447672.9864761,1.0,1.0,0.9875,0.9,0.03147347997874021,413.0576999283081,8261.153998566162
full,case1,702,164272341.14716798,162577982.18514737,1.0,1.0,0.98125,0.85,0.026160458102822304,413.46470753000347,8269.29415060007
full,case1,703,164374924.67226562,161567119.30796245,1.0,1.0,0.9875,0.9,0.03183061741292477,411.6568191972642,8233.136383945286
full,case1,704,165252200.17661133,164245416.35575482,1.0,1.0,0.99375,0.95,0.025625061988830567,413.63447813588783,8272.689562717755
full,case1,705,164418132.10634765,164687710.0150085,1.0,1.0,0.98125,0.9,0.027098451368510725,414.2743117593369,8285.486235186738
full,case2,701,161641655.31471354,162135788.1892245,0.525,0.0,0.2375,0.0,5.852292036637664,835.3243664937929,16706.487329875854
full,case2,702,163218019.24703777,162378161.95354307,0.4,0.0,0.30625,0.0,0.06604213705286384,825.0957925986128,16501.91585197225
full,case2,703,161078547.77434894,163004495.7278069,0.5,0.0,0.48125,0.0,0.07249989509582519,813.7451477902757,16274.902955805515
full,case2,704,162548690.15833333,162326032.80252865,0.375,0.0,0.21875,0.0,5.334165852144361,862.7400668776297,17254.8013375526
full,case2,705,162047811.8610677,162052837.91803408,0.43125,0.0,0.28125,0.0,3.169250036403537,810.514935758418,16210.298715168357
no_attention_residual,case1,701,163368653.6220215,162230277.40662485,1.0,1.0,0.98125,0.9,0.026116153132170437,416.87919541518215,8337.58390830364
no_attention_residual,case1,702,161059945.4904297,161499511.45999053,0.9875,0.9,0.925,0.4,0.02955394461750984,420.5947577352298,8411.895154704596
no_attention_residual,case1,703,163314080.8524414,163745003.40682212,1.0,1.0,0.9875,0.9,0.0317858288064599,415.62825885877476,8312.565177175497
no_attention_residual,case1,704,159966080.94174805,160796635.51202458,1.0,1.0,0.9875,0.9,0.02799093211069703,410.4185884749866,8208.371769499732
no_attention_residual,case1,705,160240927.74853516,157604819.00460663,1.0,1.0,0.99375,0.95,0.03272271491587162,419.50714756536524,8390.142951307305
no_attention_residual,case2,701,161377627.82854816,161519182.04814225,0.4375,0.0,0.25,0.0,2.785833677649498,802.002960715263,16040.05921430526
no_attention_residual,case2,702,161213500.45345053,162056451.17559183,0.56875,0.0,0.46875,0.0,0.08187599182128906,837.7286675282339,16754.573350564682
no_attention_residual,case2,703,160375877.9038737,161781855.01444268,0.50625,0.0,0.34375,0.0,0.17562524527311324,799.4197841628372,15988.395683256746
no_attention_residual,case2,704,162976910.4883789,161989574.39163095,0.1625,0.0,0.03125,0.0,18.464998626708983,883.1315886267337,17662.63177253467
no_attention_residual,case2,705,162326547.28323567,162182283.72037,0.25625,0.0,0.0875,0.0,9.50999927520752,847.7442449075849,16954.8848981517
no_gru,case1,701,164246697.10810548,163014900.11002114,1.0,1.0,0.99375,0.95,0.034688043594360354,416.38629807428225,8327.725961485645
no_gru,case1,702,162210262.46152344,161955172.70231614,1.0,1.0,0.99375,0.95,0.02843773365020752,415.8912239328912,8317.824478657823
no_gru,case1,703,164246353.80605468,163804812.42700443,1.0,1.0,0.9875,0.9,0.031205194257199764,415.40945659779237,8308.189131955849
no_gru,case1,704,165202220.16621095,164427684.86224055,1.0,1.0,0.9875,0.9,0.026472810283303262,416.10115845075813,8322.023169015161
no_gru,case1,705,162196323.77924806,163803297.18813133,1.0,1.0,0.9875,0.9,0.02861659526824951,416.17295151378494,8323.459030275699
no_gru,case2,701,161550284.23714194,161244196.56074283,0.49375,0.0,0.35625,0.0,0.061250400729477406,868.7685100074181,17375.370200148365
no_gru,case2,702,161721274.09332684,161444701.71250522,0.44375,0.0,0.2625,0.0,0.06583434734493494,888.7480999204729,17774.961998409453
no_gru,case2,703,161789152.91484374,161339970.90774912,0.49375,0.0,0.30625,0.0,0.06604137439280748,898.5831218322622,17971.66243664525
no_gru,case2,704,161711030.26070964,161405400.12085536,0.51875,0.0,0.4125,0.0,0.10645818738266825,900.2012874776638,18004.02574955328
no_gru,case2,705,161869419.22701824,161420410.28091687,0.55625,0.0,0.325,0.0,0.060833311453461644,868.3925170869182,17367.850341738365
no_trust,case1,701,151612401.47124022,156167315.4887794,1.0,1.0,0.96875,0.75,0.025625075586140154,434.6414607572741,8692.829215145484
no_trust,case1,702,163416474.4350586,163081171.8444849,1.0,1.0,1.0,1.0,0.026875066757202148,401.0388478900143,8020.776957800286
no_trust,case1,703,157991667.86241454,148138250.71249604,1.0,1.0,0.98125,0.85,0.02660673689097166,419.4077288270252,8388.154576540506
no_trust,case1,704,155055283.50356445,153346133.51856947,1.0,1.0,0.99375,0.95,0.04151770379394293,440.48181627013025,8809.636325402604
no_trust,case1,705,166860139.86977538,165404591.30009076,1.0,1.0,0.99375,0.95,0.02500009536743164,417.8760461063357,8357.520922126714
no_trust,case2,701,168081222.4428711,165320082.02820277,0.11875,0.0,0.0125,0.0,0.02727300470525568,905.7529429449025,18115.05885889805
no_trust,case2,702,164654502.8965495,164585082.0785398,0.55,0.0,0.38125,0.0,0.4035830467939377,831.6200864016009,16632.40172803202
no_trust,case2,703,166930349.65058595,165851325.34404722,0.28125,0.0,0.1375,0.0,0.7399994522333145,835.295747344175,16705.9149468835
no_trust,case2,704,164221571.71923828,163922992.3397131,0.375,0.0,0.30625,0.0,3.679166905209422,845.3879090630589,16907.75818126118
no_trust,case2,705,167512018.84970704,166702454.95935997,0.375,0.0,0.3625,0.0,0.08208306664600969,843.0605331878738,16861.210663757473
