comparison,ablation_label,metric,matched_seed_case_pairs,full_mean,ablation_mean,full_minus_ablation,relative_change_percent,ci95_half_width_of_paired_difference,paired_effect_size_dz,signflip_p_raw,signflip_p_holm
full_vs_no_trust,w/o trust-aware,final_return,10,163330851.383,162633563.27,697288.112569,0.42874798,4897814.792211426,0.10183627459348156,0.759765625,0.759765625
full_vs_no_trust,w/o trust-aware,return_auc,10,162842321.744,161251939.961,1590381.78272,0.98627141,4616613.011770153,0.24641691814577316,0.45703125,0.45703125
full_vs_no_trust,w/o trust-aware,target_interception_rate,10,0.723125,0.67,0.053125,7.9291045,0.10935132604505762,0.347510146716263,0.375,0.75
full_vs_no_trust,w/o trust-aware,target_sync_rate,10,0.645625,0.61375,0.031875,5.1934827,0.10099383366850917,0.22576048840129256,0.53515625,1.0
full_vs_no_trust,w/o trust-aware,all_target_interception,10,0.5,0.5,0,0,0.0,nan,1.0,1.0
full_vs_no_trust,w/o trust-aware,all_target_sync,10,0.45,0.45,0,0,0.05331585130146568,1.4895204919483638e-16,1.0,1.0
full_vs_no_trust,w/o trust-aware,mean_sync_spread_s,10,1.46364380262,0.507773015398,0.95587078722,188.24765,1.462514871635933,-0.4675106394211138,0.22265625,0.4453125
full_vs_no_gru,w/o GRU,final_return,10,163330851.383,162674301.805,656549.577251,0.4035976,692203.0471533578,0.6784637052878546,0.064453125,0.12890625
full_vs_no_gru,w/o GRU,return_auc,10,162842321.744,162386054.687,456267.0569,0.28097675,754019.6744347287,0.4328416420155316,0.197265625,0.39453125
full_vs_no_gru,w/o GRU,target_interception_rate,10,0.723125,0.750625,-0.0275,-3.6636137,0.04242297092967441,-0.46368624719108925,0.25,0.75
full_vs_no_gru,w/o GRU,target_sync_rate,10,0.645625,0.66125,-0.015625,-2.362949,0.06907470553909369,-0.16180561347209868,0.640625,1.0
full_vs_no_gru,w/o GRU,all_target_interception,10,0.5,0.5,0,0,0.0,nan,1.0,1.0
full_vs_no_gru,w/o GRU,all_target_sync,10,0.45,0.46,-0.01,-2.173913,0.028212096696275495,-0.2535462764185551,0.75,1.0
full_vs_no_gru,w/o GRU,mean_sync_spread_s,10,1.46364380262,0.0509837998357,1.41266000278,2770.8017,1.6956003743206969,-0.5959457758758816,0.130859375,0.392578125
full_vs_no_attention_residual,w/o attention-residual,final_return,10,163330851.383,161622015.261,1708836.1214,1.0573041,1383361.2103127844,0.8836034895642855,0.015625,0.046875
full_vs_no_attention_residual,w/o attention-residual,return_auc,10,162842321.744,161540559.314,1301762.43012,0.80584247,1762045.2825975637,0.5284540964494838,0.12109375,0.36328125
full_vs_no_attention_residual,w/o attention-residual,target_interception_rate,10,0.723125,0.691875,0.03125,4.5167118,0.07627847624002461,0.29304924943671146,0.34375,0.75
full_vs_no_attention_residual,w/o attention-residual,target_sync_rate,10,0.645625,0.605625,0.04,6.6047472,0.07746868415689012,0.36934005760647337,0.2421875,0.7265625
full_vs_no_attention_residual,w/o attention-residual,all_target_interception,10,0.5,0.49,0.01,2.0408163,0.022619999999999994,0.316227766016838,1.0,1.0
full_vs_no_attention_residual,w/o attention-residual,all_target_sync,10,0.45,0.405,0.045,11.111111,0.10317684866286621,0.31197719953661296,0.75,1.0
full_vs_no_attention_residual,w/o attention-residual,mean_sync_spread_s,10,1.46364380262,3.11665023902,-1.65300643641,-53.037919,3.327128677354016,0.3553837351648687,0.265625,0.4453125
