scope,metric,comparison,matched_seed_case_pairs,mean_full_minus_ablation,ci95_half_width,paired_effect_size_dz,signflip_p_raw,signflip_p_holm
pooled,final_return,full_vs_no_trust,10,697288.1125687659,4897814.792211426,0.10183627459348156,0.759765625,0.759765625
pooled,final_return,full_vs_no_gru,10,656549.5772509694,692203.0471533578,0.6784637052878546,0.064453125,0.12890625
pooled,final_return,full_vs_no_attention_residual,10,1708836.1214029908,1383361.2103127844,0.8836034895642855,0.015625,0.046875
pooled,return_auc,full_vs_no_trust,10,1590381.7827203036,4616613.011770153,0.24641691814577316,0.45703125,0.45703125
pooled,return_auc,full_vs_no_gru,10,456267.0569003463,754019.6744347287,0.4328416420155316,0.197265625,0.39453125
pooled,return_auc,full_vs_no_attention_residual,10,1301762.4301240027,1762045.2825975637,0.5284540964494838,0.12109375,0.36328125
pooled,target_interception_rate,full_vs_no_trust,10,0.053125,0.10935132604505762,0.347510146716263,0.375,0.75
pooled,target_interception_rate,full_vs_no_gru,10,-0.027500000000000004,0.04242297092967441,-0.46368624719108925,0.25,0.75
pooled,target_interception_rate,full_vs_no_attention_residual,10,0.031250000000000014,0.07627847624002461,0.29304924943671146,0.34375,0.75
pooled,all_target_interception,full_vs_no_trust,10,0.0,0.0,nan,1.0,1.0
pooled,all_target_interception,full_vs_no_gru,10,0.0,0.0,nan,1.0,1.0
pooled,all_target_interception,full_vs_no_attention_residual,10,0.009999999999999998,0.022619999999999994,0.316227766016838,1.0,1.0
pooled,target_sync_rate,full_vs_no_trust,10,0.031875,0.10099383366850917,0.22576048840129256,0.53515625,1.0
pooled,target_sync_rate,full_vs_no_gru,10,-0.015625000000000017,0.06907470553909369,-0.16180561347209868,0.640625,1.0
pooled,target_sync_rate,full_vs_no_attention_residual,10,0.039999999999999994,0.07746868415689012,0.36934005760647337,0.2421875,0.7265625
pooled,all_target_sync,full_vs_no_trust,10,1.1102230246251566e-17,0.05331585130146568,1.4895204919483638e-16,1.0,1.0
pooled,all_target_sync,full_vs_no_gru,10,-0.009999999999999998,0.028212096696275495,-0.2535462764185551,0.75,1.0
pooled,all_target_sync,full_vs_no_attention_residual,10,0.045,0.10317684866286621,0.31197719953661296,0.75,1.0
pooled,mean_sync_spread_s,full_vs_no_trust,10,-0.9558707872202451,1.462514871635933,-0.4675106394211138,0.22265625,0.4453125
pooled,mean_sync_spread_s,full_vs_no_gru,10,-1.4126600027829408,1.6956003743206969,-0.5959457758758816,0.130859375,0.392578125
pooled,mean_sync_spread_s,full_vs_no_attention_residual,10,1.6530064364057033,3.327128677354016,0.3553837351648687,0.265625,0.4453125
pooled,mean_agent_return,full_vs_no_trust,10,-16.10547927228611,17.918754355341417,-0.6429222234342524,0.060546875,0.12109375
pooled,mean_agent_return,full_vs_no_gru,10,-29.11462988247144,22.220481982011016,-0.9372391018822614,0.001953125,0.005859375
pooled,mean_agent_return,full_vs_no_attention_residual,10,-3.9546867920661612,13.570952928803713,-0.20844637643103056,0.521484375,0.521484375
pooled,team_return,full_vs_no_trust,10,-322.1095854457226,358.3750871068293,-0.6429222234342514,0.060546875,0.12109375
pooled,team_return,full_vs_no_gru,10,-582.2925976494301,444.40963964022103,-0.9372391018822621,0.001953125,0.005859375
pooled,team_return,full_vs_no_attention_residual,10,-79.09373584132427,271.4190585760743,-0.2084463764310333,0.521484375,0.521484375
case1,final_return,full_vs_no_trust,5,5567564.465827644,7885820.471476798,0.8765018322042325,0.1875,0.1875
case1,final_return,full_vs_no_gru,5,934386.4300097584,1372103.4049843575,0.8454231584078712,0.0625,0.1875
case1,final_return,full_vs_no_attention_residual,5,2964820.16320312,2328277.523654062,1.5808769581427746,0.0625,0.1875
case1,return_auc,full_vs_no_trust,5,6077687.5971857365,8050595.499311355,0.9372270753831463,0.25,0.75
case1,return_auc,full_vs_no_gru,5,-95993.28787286878,1564416.8639236828,-0.07617681976206102,0.9375,0.9375
case1,return_auc,full_vs_no_attention_residual,5,2129930.8120561065,4244954.159427335,0.622912363913447,0.25,0.75
case1,target_interception_rate,full_vs_no_trust,5,0.0,0.0,nan,1.0,1.0
case1,target_interception_rate,full_vs_no_gru,5,0.0,0.0,nan,1.0,1.0
case1,target_interception_rate,full_vs_no_attention_residual,5,0.002499999999999991,0.006939999999999973,0.447213595499958,1.0,1.0
case1,all_target_interception,full_vs_no_trust,5,0.0,0.0,nan,1.0,1.0
