episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case2,8,9,3,3,False,False,0.15000152587890625,0.08333460241556168,821.4090370369144,16428.180740738288
2,case2,8,9,3,3,False,False,0.0500030517578125,0.01666768454015255,816.4704719194676,16329.409438389353
3,case2,8,8,3,2,False,False,0.15000152587890625,0.05000050738453865,820.7638446721445,16415.27689344289
4,case2,8,9,4,2,False,False,0.15000152587890625,0.05000050738453865,804.3494614424994,16086.989228849989
5,case2,8,9,3,3,False,False,0.049999237060546875,0.033331554383039474,817.5062986380071,16350.125972760143
6,case2,8,8,3,2,False,False,0.09999847412109375,0.05000050738453865,806.4857739137893,16129.715478275786
7,case2,8,8,3,2,False,False,0.20000457763671875,0.10000228881835938,818.8000447303536,16376.000894607074
8,case2,8,8,3,2,False,False,0.1999969482421875,0.0833333358168602,829.8175172911112,16596.350345822226
9,case2,8,9,3,3,False,False,0.15000152587890625,0.06666692346334457,819.7943022620399,16395.886045240797
10,case2,8,9,3,3,False,False,0.09999847412109375,0.05000050738453865,836.569173938519,16731.38347877038
11,case2,8,8,3,2,False,False,0.25,0.1000010147690773,818.2536337018115,16365.07267403623
12,case2,8,8,3,2,False,False,0.15000152587890625,0.06666819006204605,818.7306013138875,16374.61202627775
13,case2,8,10,4,3,False,False,0.0500030517578125,0.037502288818359375,823.2253360566799,16464.5067211336
14,case2,8,7,3,2,False,False,0.149993896484375,0.09999847412109375,865.6813731170259,17313.62746234052
15,case2,8,8,3,2,False,False,0.09999847412109375,0.06666692346334457,825.7437947661285,16514.87589532257
16,case2,8,9,4,2,False,False,0.1999969482421875,0.09999974817037582,824.9313011595616,16498.62602319123
17,case2,8,10,4,3,False,False,0.09999847412109375,0.05000050738453865,810.7090577834285,16214.181155668572
18,case2,8,9,3,3,False,False,0.09999847412109375,0.0666656494140625,825.2132035980467,16504.264071960934
19,case2,8,9,3,3,False,False,0.09999847412109375,0.049999237060546875,832.061915594677,16641.23831189354
20,case2,8,7,3,2,False,False,0.15000152587890625,0.10000228881835938,865.3997090361609,17307.994180723217
