episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,mean_target_time,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,35.431251525878906,0.0500030517578125,0.02500009536743164,416.06441807462835,8321.288361492567
3,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.11805819231085,8322.361163846217
4,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.03234756728637,8320.646951345727
5,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.06200502617287,8321.240100523457
6,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.2112789134029,8324.225578268059
7,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.08321866481566,8321.664373296313
8,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.1554405203089,8323.108810406178
9,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.1577002523001,8323.154005046003
10,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.15671212906017,8323.134242581204
11,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.03125,416.1454277171753,8322.908554343507
12,case1,8,20,8,8,True,True,35.431251525878906,0.0500030517578125,0.03125,416.1041999803856,8322.083999607712
13,case1,8,20,8,8,True,True,35.431251525878906,0.0500030517578125,0.03125,416.0794640167616,8321.589280335233
15,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.1699182294775,8323.39836458955
16,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.1123681640718,8322.247363281436
17,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.12693962142805,8322.53879242856
18,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.230116438726,8324.60232877452
19,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.11021745959295,8322.20434919186
20,case1,8,20,8,8,True,True,35.4375,0.0500030517578125,0.02500009536743164,416.1403099375777,8322.806198751554
