episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,0.0500030517578125,0.03750038146972656,414.58068969617597,8291.61379392352
2,case1,8,20,8,8,True,True,0.0500030517578125,0.03750038146972656,414.5700382911367,8291.400765822735
3,case1,8,18,7,7,False,False,0.0500030517578125,0.02857208251953125,455.4962273666868,9109.924547333736
4,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,414.6351497687865,8292.70299537573
5,case1,8,19,8,7,True,False,0.0500030517578125,0.02857208251953125,418.3085517862113,8366.171035724226
6,case1,8,18,7,7,False,False,0.0500030517578125,0.02857208251953125,454.7390452028485,9094.78090405697
7,case1,8,19,8,7,True,False,0.0500030517578125,0.02857208251953125,418.35392310027964,8367.078462005593
8,case1,8,19,8,7,True,False,0.0500030517578125,0.035714831203222275,418.3142530863173,8366.285061726347
9,case1,8,19,8,7,True,False,0.0500030517578125,0.02857208251953125,418.4313985302812,8368.627970605623
10,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,418.29722670663614,8365.944534132723
11,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,418.3680687413551,8367.361374827102
12,case1,8,19,8,7,True,False,0.0500030517578125,0.035714831203222275,418.31265385027507,8366.253077005502
13,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,414.5820681720972,8291.641363441944
14,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,418.28609516280704,8365.72190325614
15,case1,8,20,8,8,True,True,0.0500030517578125,0.03749990463256836,414.565024668118,8291.30049336236
16,case1,8,19,8,7,True,False,0.0500030517578125,0.028571536764502525,418.26969883607234,8365.393976721447
17,case1,8,19,8,7,True,False,0.0500030517578125,0.025000572204589844,419.9137422333937,8398.274844667874
18,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,414.70942801972853,8294.18856039457
19,case1,8,20,8,8,True,True,0.0500030517578125,0.01875019073486328,414.5530014393851,8291.060028787702
20,case1,8,20,8,8,True,True,0.0500030517578125,0.02500009536743164,414.60887004600374,8292.177400920074
