episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.09602356809194,8321.920471361838
2,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.0869125778321,8321.738251556642
3,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.0736384836957,8321.472769673914
4,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.1797002599109,8323.594005198218
5,case1,8,20,8,8,True,True,0.0500030517578125,0.031250715255737305,416.2251415242441,8324.502830484882
6,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.1526552428957,8323.053104857914
7,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.1040711539332,8322.081423078664
8,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.11736854179765,8322.347370835952
9,case1,8,20,8,8,True,True,0.0500030517578125,0.03750038146972656,416.08386606122366,8321.677321224473
10,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.1735492087435,8323.47098417487
11,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.2258430166636,8324.516860333271
12,case1,8,19,8,7,True,False,0.0500030517578125,0.0312504768371582,421.0643254727591,8421.286509455182
13,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.1800828608684,8323.601657217368
14,case1,8,20,8,8,True,True,0.0500030517578125,0.0312504768371582,416.2352544442285,8324.70508888457
15,case1,8,20,8,8,True,True,0.0500030517578125,0.04375052452087402,416.0540932699572,8321.081865399145
16,case1,8,20,8,8,True,True,0.0500030517578125,0.03750038146972656,416.1747352301143,8323.494704602286
17,case1,8,20,8,8,True,True,0.0500030517578125,0.025000572204589844,416.114427937055,8322.2885587411
18,case1,8,20,8,8,True,True,0.0500030517578125,0.031250715255737305,416.22431816258467,8324.486363251694
19,case1,8,20,8,8,True,True,0.0500030517578125,0.04375052452087402,416.1506097109057,8323.012194218114
20,case1,8,20,8,8,True,True,0.0500030517578125,0.037500619888305664,416.00934475813995,8320.186895162798
