episode,case,target_num,hit_count,target_hit_count,target_sync_count,all_hit,all_sync,max_sync_spread,mean_sync_spread,mean_agent_return,team_return
1,case2,8,8,3,2,False,False,0.0500030517578125,0.01666768454015255,846.5033669880592,16930.067339761183
2,case2,8,8,3,2,False,False,0.0500030517578125,0.03333282470703125,844.7831834517885,16895.66366903577
3,case2,8,9,3,2,False,False,24.849998474121094,8.316668510437012,842.0267431555782,16840.534863111563
4,case2,8,9,3,3,False,False,0.0500030517578125,0.01666768454015255,842.3211449253373,16846.422898506746
5,case2,8,9,3,3,False,False,0.0500030517578125,0.01666768454015255,844.9797927614767,16899.595855229534
6,case2,8,9,3,3,False,False,0.0500030517578125,0.033334095031023026,845.2946637830697,16905.893275661394
7,case2,8,9,3,2,False,False,23.950000762939453,8.016666412353516,848.6937830314506,16973.87566062901
8,case2,8,9,3,3,False,False,0.0500030517578125,0.049999237060546875,837.8092106333468,16756.184212666936
9,case2,8,9,3,2,False,False,24.400001525878906,8.166668891906738,843.9604287490249,16879.208574980497
10,case2,8,9,3,3,False,False,0.049999237060546875,0.049996692687273026,838.8940286553,16777.880573106
11,case2,8,9,3,2,False,False,23.950000762939453,8.016666412353516,847.0043719181325,16940.08743836265
12,case2,8,9,3,2,False,False,23.75,7.9499993324279785,874.7451048646587,17494.902097293176
13,case2,8,9,3,2,False,False,24.25,8.116665840148926,845.0430442591198,16900.860885182396
14,case2,8,9,3,2,False,False,25.099998474121094,8.400001525878906,847.9224499880802,16958.448999761604
15,case2,8,9,3,3,False,False,0.0500030517578125,0.050001781433820724,840.0256061970256,16800.512123940513
16,case2,8,9,3,2,False,False,24.849998474121094,8.316665649414062,851.2088559461292,17024.177118922584
17,case2,8,9,3,2,False,False,23.599998474121094,7.899999141693115,845.2447183001786,16904.894366003573
18,case2,8,9,3,3,False,False,0.0500030517578125,0.01666768454015255,839.5185207550879,16790.37041510176
19,case2,8,9,3,3,False,False,0.0500030517578125,0.049999237060546875,837.3509081619792,16747.018163239583
20,case2,8,9,3,3,False,False,0.100006103515625,0.050001781433820724,844.4282547363546,16888.56509472709
