update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
1,6000,166774213.97265625,1.0,1.0,0.02499999999999869,0.7708212624740817,0.02062055592639337,0.20001666666666668,-0.002238455234328285,1.0463688969612122,2.7526373505592345,0.0008789889298440545,0.0002999262307746768,31.9429132938385
2,12000,146145916.02246094,0.75,0.75,0.026116071428570056,0.7446367657323072,0.0392027015746901,0.22910833333333333,-0.005121404957026243,0.617868447303772,2.7434815049171446,0.0036707612127500288,0.00029970499590002654,63.66857171058655
3,18000,166274626.20117188,1.0,1.0,0.021874999999998757,0.7211897099649185,0.0557593830313986,0.25395,-0.005680023727472871,0.15301091149449347,2.7365606784820558,0.004292872881814641,0.0002993365137081604,90.67460942268372
4,24000,145862359.49609375,0.75,0.75,0.014285714285713473,0.7004725319943105,0.07065410371517339,0.279175,-0.008085416987887584,0.06733928974717855,2.729113221168518,0.016355847870285323,0.0002988211478465144,123.84291791915894
5,30000,165986922.82617188,1.0,1.0,0.0281249999999984,0.6813530411277462,0.0840285205394139,0.3012916666666667,-0.008905011962269782,0.041164216864854095,2.721179211139679,0.012390003464395782,0.000298159406918973,157.41496872901917
6,36000,145414531.5498047,0.75,0.75,0.037053571428569326,0.6646230530717625,0.0960740526358564,0.31804166666666667,-0.012743987925932742,0.021676243375986816,2.711747074127197,0.022741503114451955,0.0002973519439839389,186.98120784759521
7,42000,165711412.26367188,1.0,1.0,0.0265624999999986,0.6491606427823364,0.10700992704412278,0.3334083333333333,-0.011243356449404019,0.018363212468102574,2.6993241906166077,0.017694762824165332,0.00029639955590984266,219.83080172538757
8,48000,165473189.75195312,1.0,1.0,0.02499999999999869,0.6354846920042417,0.11676497212068272,0.3511416666666667,-0.011046866076503648,0.01640715105459094,2.6872427701950072,0.01995548913744587,0.00029530318258873023,252.92437648773193
9,54000,165553842.11523438,1.0,1.0,0.02499999999999858,0.623089079152001,0.12563939275665556,0.3661083333333333,-0.013426608103327454,0.0163545036688447,2.6745591044425963,0.02343238617209096,0.0002940639060087029,285.9616003036499
10,60000,165426429.46875,1.0,1.0,0.017187499999999023,0.6118900013810413,0.13366199537442505,0.37348333333333333,-0.014072379922436085,0.014590434683486819,2.6606775283813477,0.02615111011970788,0.00029268294918612537,320.24664187431335
11,66000,165464344.29785156,1.0,1.0,0.0281249999999984,0.6016147744885572,0.1409214506272788,0.38965,-0.013783834385685622,0.013565559778362513,2.647204613685608,0.029662282474599698,0.00029116167495865663,353.2916622161865
12,72000,165127502.37109375,1.0,1.0,0.023437499999998668,0.5917873295211884,0.14753543401263472,0.3988,-0.011173815310758072,0.01224036472849548,2.635930025577545,0.021621353833824398,0.0002895015846402935,385.7670395374298
13,78000,164960034.94140625,1.0,1.0,0.018749999999998934,0.5836819461853626,0.1533169146975537,0.40703333333333336,-0.012021650542737915,0.011804419476538897,2.626584827899933,0.02927615150762102,0.0002877043165397551,419.0167441368103
14,84000,164653262.671875,1.0,1.0,0.02343749999999878,0.576516365648792,0.15854597466783696,0.417675,-0.012322233291342854,0.011052404204383493,2.6165967345237733,0.020259240088795406,0.0002857716443436699,451.05408668518066
15,90000,164920731.19335938,1.0,1.0,0.02499999999999869,0.5703979316878709,0.1633594808456668,0.42630833333333334,-0.0128287898900453,0.01127391578629613,2.605621314048767,0.022829351750239722,0.00028370547536616097,484.50489234924316
16,96000,165233829.95117188,1.0,1.0,0.018749999999998934,0.5642748606005012,0.16758590250141606,0.43173333333333336,-0.013462886662455275,0.011220705509185792,2.593315935134888,0.015905981435601617,0.00028150784866655756,520.9663004875183
17,102000,165649966.52929688,1.0,1.0,0.028124999999998623,0.5590930474712189,0.17144825845295983,0.4363916666666667,-0.01366850618942408,0.010328745981678367,2.5813780784606934,0.01940697334485133,0.00027918093303708956,553.8393008708954
18,108000,165469358.94140625,1.0,1.0,0.023437499999998668,0.5544690693665035,0.1748450649270674,0.441875,-0.013903963121993,0.0104169478174299,2.5695905447006226,0.015212352869644086,0.00027672702486255125,587.5364453792572
