update,environment_steps,mean_episode_return,all_hit_rate,all_sync_rate,mean_sync_spread_s,trust_mean,trust_std,guided_action_fraction,policy_loss,value_loss,entropy,approx_kl,actor_lr,wall_time_s
1,6000,166909072.2138672,1.0,1.0,0.02499999999999858,0.7709435158940268,0.02048905558165314,0.200825,-0.0025404675932804823,1.3506305754184722,2.7540069460868835,0.0014468697155620796,0.0002999262307746768,32.64971852302551
2,12000,166622298.5390625,1.0,1.0,0.023437499999998668,0.7448770902395667,0.03876112518198806,0.22804166666666667,-0.004616655304562301,0.9212016791105271,2.7478737473487853,0.00232937617648199,0.00029970499590002654,64.5302939414978
3,18000,166382129.7861328,1.0,1.0,0.028124999999998623,0.7209452202417632,0.05529319972526492,0.254725,-0.005924904317362234,0.3029537111520767,2.7422548651695253,0.004238574313502758,0.0002993365137081604,96.40482068061829
4,24000,145666648.31445312,0.75,0.75,0.021205357142855936,0.6997063305513158,0.07011361664338442,0.27986666666666665,-0.010898615163750947,0.12289463132619857,2.7357850551605223,0.014040455712943028,0.0002988211478465144,127.15331530570984
5,30000,165876792.83398438,1.0,1.0,0.0265624999999986,0.6803859859416626,0.0836394342333745,0.299725,-0.008502231394231785,0.06841237358748913,2.729364240169525,0.010339811796372134,0.000298159406918973,159.03489995002747
6,36000,145106127.59765625,0.75,0.75,0.027455357142855692,0.6626070369408726,0.09570407514634308,0.318975,-0.011864802784111816,0.03581562777981162,2.72126944065094,0.022792704662606123,0.0002973519439839389,190.3309245109558
7,42000,165432091.57714844,1.0,1.0,0.021874999999998757,0.6471603193630976,0.10654394748161039,0.33805,-0.011963818408548831,0.029891485068947076,2.7109837412834166,0.01516155482418835,0.00029639955590984266,221.9394268989563
8,48000,165333363.953125,1.0,1.0,0.02499999999999858,0.6331937732616049,0.11623454134798668,0.35256666666666664,-0.012797404080629349,0.022627894952893256,2.698281157016754,0.014540572747873765,0.00029530318258873023,253.17770409584045
9,54000,165451906.61035156,1.0,1.0,0.021874999999998757,0.620922573821176,0.12500364436660505,0.3685583333333333,-0.013364492944674566,0.01833396274596453,2.6849714159965514,0.019237483063725132,0.0002940639060087029,285.3229720592499
10,60000,144907143.3408203,0.75,0.75,0.020982142857141665,0.6097849215048099,0.13286046385617362,0.38095833333333334,-0.014522194350138306,0.015671763010323046,2.6728164553642273,0.030703541228870545,0.00029268294918612537,319.2998962402344
11,66000,165156149.82226562,1.0,1.0,0.02499999999999869,0.5987962235731532,0.14022882589789437,0.3892083333333333,-0.015298528643324972,0.016737129352986813,2.6603190064430238,0.0249179683872778,0.00029116167495865663,351.86495089530945
12,72000,165201515.7109375,1.0,1.0,0.02656249999999849,0.5898103630156613,0.14657672348210055,0.4016166666666667,-0.015338440529239961,0.014789292495697737,2.6479542374610903,0.023801515925430384,0.0002895015846402935,380.30077266693115
13,78000,165286754.0703125,1.0,1.0,0.021874999999998868,0.5817224555855871,0.15249002500023492,0.4114833333333333,-0.016540280339540914,0.014705272996798158,2.6352591156959533,0.03268570514636735,0.0002877043165397551,411.1943805217743
14,84000,165111925.921875,1.0,1.0,0.02499999999999858,0.5742544184446978,0.15771730696521385,0.41475833333333334,-0.016221141256392003,0.014204108761623502,2.623058831691742,0.02766629815392817,0.0002857716443436699,441.374315738678
15,90000,165133120.45507812,1.0,1.0,0.020312499999998956,0.5679630721082488,0.16221980957742108,0.427775,-0.01664044339413522,0.013514496712014079,2.6104713916778564,0.028977694245154662,0.00028370547536616097,471.3181731700897
16,96000,165201714.9453125,1.0,1.0,0.018749999999999045,0.5622753403210468,0.16639041192859905,0.43314166666666665,-0.013813181733712553,0.013245054055005312,2.597443997859955,0.02536955208963405,0.00028150784866655756,501.99040174484253
17,102000,144669022.23632812,0.75,0.75,0.022544642857141688,0.556993305773438,0.17016207821929621,0.43738333333333335,-0.008983284083660692,0.01217309283092618,2.586828684806824,0.02390254713923981,0.00027918093303708956,531.6655020713806
18,108000,165271537.43945312,1.0,1.0,0.02656249999999849,0.5525731766086166,0.17356172357049385,0.44105,-0.014516398560954259,0.012660465855151414,2.57699533700943,0.018350503033945958,0.00027672702486255125,561.9202511310577
19,114000,165113854.8515625,1.0,1.0,0.020312499999998845,0.5480016411648712,0.17681118977188146,0.44583333333333336,-0.014591294364072383,0.012636910891160369,2.564563846588135,0.021574880029881994,0.000274148545854047,592.5018441677094
20,120000,165223239.78320312,1.0,1.0,0.021874999999998868,0.5440583888015322,0.17965555376829243,0.4528,-0.01232542836223729,0.012473645666614176,2.553425920009613,0.02151284941630749,0.00027144804065905466,622.5086355209351
21,126000,165010426.08398438,1.0,1.0,0.017187499999999134,0.5404418516183487,0.1821369048845349,0.456825,-0.010490520019084215,0.012522921012714506,2.544282841682434,0.019239751771750548,0.0002686281743501657,653.4168922901154
22,132000,165100071.1455078,1.0,1.0,0.0281249999999984,0.5376933680257725,0.18442487911537755,0.45895,-0.01369142442708835,0.012409349251538516,2.5352489829063414,0.020137119006135806,0.0002656917297949805,684.0482289791107
